header
IE0.0    -19.940       1       1 8.8742  8.1081  7.9511    56.14   56.14
OF280.0  -14.669    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF282.0  -14.623    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF284.0  -14.577    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF286.0  -14.531    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF288.0  -14.485    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF290.0  -14.438    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF292.0  -14.392    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF294.0  -14.346    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF296.0  -14.300    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF298.0  -14.244    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF300.0  -14.187    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF302.0  -14.130    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF304.0  -14.073    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF306.0  -14.016    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF308.0  -13.96     0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF310.0  -13.903    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF312.0  -13.846    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF314.0  -13.789    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF316.0  -13.732    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF318.0  -13.675    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF320.0  -13.619    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF322.0  -13.562    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF324.0  -13.505    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF326.0  -13.448    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF328.0  -13.391    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF330.0  -13.335    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF332.0  -13.278    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF334.0  -13.221    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF336.0  -13.164    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF338.0  -13.107    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF340.0  -13.050    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF342.0  -12.994    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF344.0  -12.937    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF346.0  -12.880    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF348.0  -12.823    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
