header
IE0.0    -50.257       1       1 8.8764  6.8258  10.7504   56.14   56.14
OF143.0  -33.589    0.00 8.8766     0.00    0.00    0.00    0.00    0.00
OF144.0  -33.519    0.00 8.8766     0.00    0.00    0.00    0.00    0.00
OF145.0  -33.449    0.00 8.8766     0.00    0.00    0.00    0.00    0.00
OF146.0  -33.38     0.00 8.8766     0.00    0.00    0.00    0.00    0.00
OF147.0  -33.305    0.00 8.8766     0.00    0.00    0.00    0.00    0.00
OF148.0  -33.226    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF149.0  -33.147    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF150.0  -33.068    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF151.0  -32.989    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF152.0  -32.910    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF153.0  -32.831    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF154.0  -32.752    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF155.0  -32.673    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF156.0  -32.594    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF157.0  -32.515    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF158.0  -32.436    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF159.0  -32.357    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF160.0  -32.278    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF161.0  -32.199    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF162.0  -32.120    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF163.0  -32.041    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF164.0  -31.962    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF165.0  -31.883    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF166.0  -31.804    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF167.0  -31.725    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF168.0  -31.646    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF169.0  -31.567    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF170.0  -31.488    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF171.0  -31.409    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF172.0  -31.330    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF173.0  -31.251    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF174.0  -31.172    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF175.0  -31.093    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF176.0  -31.014    0.00 8.8762     0.00    0.00    0.00    0.00    0.00
OF177.0  -30.935    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF178.0  -30.856    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF179.0  -30.777    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF180.0  -30.698    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF181.0  -30.619    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF182.0  -30.540    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF183.0  -30.461    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF184.0  -30.382    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF185.0  -30.303    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF186.0  -30.224    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF187.0  -30.145    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF188.0  -30.066    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF189.0  -29.987    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF190.0  -29.908    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF191.0  -29.829    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF192.0  -29.750    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF193.0  -29.671    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF194.0  -29.592    0.00 8.8763     0.00    0.00    0.00    0.00    0.00
OF195.0  -29.513    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF196.0  -29.434    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF197.0  -29.355    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF198.0  -29.276    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF199.0  -29.197    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF200.0  -29.118    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF201.0  -29.039    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF202.0  -28.960    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF203.0  -28.881    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF204.0  -28.802    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF205.0  -28.723    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF206.0  -28.644    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF207.0  -28.565    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF208.0  -28.486    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF209.0  -28.407    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF210.0  -28.328    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF211.0  -28.249    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF212.0  -28.170    0.00 8.8764     0.00    0.00    0.00    0.00    0.00
OF213.0  -28.091    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF214.0  -28.012    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF215.0  -27.933    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF216.0  -27.854    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF217.0  -27.775    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF218.0  -27.696    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF219.0  -27.617    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF220.0  -27.538    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF221.0  -27.459    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF222.0  -27.379    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF223.0  -27.301    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF224.0  -27.222    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF225.0  -27.143    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF226.0  -27.064    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF227.0  -26.985    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
OF228.0  -26.906    0.00 8.8765     0.00    0.00    0.00    0.00    0.00
