header
IE0.0    -34.913       1       1 8.9775  4.1063  3.481     56.14   56.14
OF138.0  -23.482    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF139.0  -23.410    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF140.0  -23.337    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF141.0  -23.264    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF142.0  -23.192    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF143.0  -23.119    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF144.0  -23.046    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF145.0  -22.973    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF146.0  -22.901    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF147.0  -22.828    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF148.0  -22.755    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF149.0  -22.683    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF150.0  -22.610    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF151.0  -22.537    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF152.0  -22.465    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF153.0  -22.392    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF154.0  -22.319    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF155.0  -22.247    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF156.0  -22.174    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF157.0  -22.101    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF158.0  -22.029    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF159.0  -21.956    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF160.0  -21.883    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF161.0  -21.810    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF162.0  -21.738    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF163.0  -21.665    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF164.0  -21.592    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF165.0  -21.52     0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF166.0  -21.447    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF167.0  -21.374    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF168.0  -21.301    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF169.0  -21.229    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF170.0  -21.156    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF171.0  -21.083    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF172.0  -21.002    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF173.0  -20.919    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF174.0  -20.836    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF175.0  -20.754    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF176.0  -20.671    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF177.0  -20.588    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF178.0  -20.508    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF179.0  -20.437    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF180.0  -20.366    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF181.0  -20.294    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF182.0  -20.223    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF183.0  -20.152    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF184.0  -20.080    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF185.0  -20.009    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF186.0  -19.938    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF187.0  -19.866    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF188.0  -19.795    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF189.0  -19.724    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF190.0  -19.652    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF191.0  -19.581    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF192.0  -19.510    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF193.0  -19.438    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF194.0  -19.364    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF195.0  -19.290    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF196.0  -19.215    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF197.0  -19.141    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF198.0  -19.066    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF199.0  -18.992    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF200.0  -18.917    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF201.0  -18.843    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF202.0  -18.768    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF203.0  -18.694    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF204.0  -18.619    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
OF205.0  -18.545    0.00 8.9774     0.00    0.00    0.00    0.00    0.00
