header
IE0.0    -67.677       1       1 8.874   2.321   2.202     56.14   56.14
OF109.0  -57.909    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF110.0  -57.774    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF111.0  -57.639    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF112.0  -57.504    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF113.0  -57.369    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF114.0  -57.234    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF115.0  -57.099    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF116.0  -56.963    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF117.0  -56.828    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF118.0  -56.693    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF119.0  -56.558    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF120.0  -56.423    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF121.0  -56.288    0.00 8.8747     0.00    0.00    0.00    0.00    0.00
OF122.0  -56.153    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF123.0  -56.017    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF124.0  -55.882    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF125.0  -55.747    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF126.0  -55.612    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF127.0  -55.477    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF128.0  -55.342    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF129.0  -55.207    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF130.0  -55.072    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF131.0  -54.936    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF132.0  -54.801    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF133.0  -54.666    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF134.0  -54.531    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF135.0  -54.396    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF136.0  -54.261    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF137.0  -54.126    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF138.0  -53.990    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF139.0  -53.855    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF140.0  -53.720    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF141.0  -53.585    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF142.0  -53.450    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF143.0  -53.315    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF144.0  -53.180    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF145.0  -53.044    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF146.0  -52.909    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF147.0  -52.774    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF148.0  -52.639    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF149.0  -52.504    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF150.0  -52.369    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
OF151.0  -52.234    0.00 8.8748     0.00    0.00    0.00    0.00    0.00
