header
IE0.0    -14.532       1       1 8.9177  2.3138  2.3       56.14   56.14
OF150.0  -13.895    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF151.0  -13.893    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF152.0  -13.891    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF153.0  -13.889    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF154.0  -13.887    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF155.0  -13.885    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF156.0  -13.883    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF157.0  -13.881    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF158.0  -13.879    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF159.0  -13.877    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF160.0  -13.875    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF161.0  -13.873    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF162.0  -13.871    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF163.0  -13.869    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF164.0  -13.865    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF165.0  -13.861    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF166.0  -13.857    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF167.0  -13.853    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF168.0  -13.849    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF169.0  -13.845    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF170.0  -13.841    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF171.0  -13.837    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF172.0  -13.833    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF173.0  -13.829    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF174.0  -13.825    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF175.0  -13.821    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF176.0  -13.816    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF177.0  -13.812    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF178.0  -13.808    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF179.0  -13.804    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF180.0  -13.800    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF181.0  -13.796    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF182.0  -13.792    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF183.0  -13.788    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF184.0  -13.784    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF185.0  -13.780    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF186.0  -13.776    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF187.0  -13.772    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF188.0  -13.767    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF189.0  -13.763    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF190.0  -13.759    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF191.0  -13.755    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF192.0  -13.751    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF193.0  -13.747    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF194.0  -13.743    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF195.0  -13.739    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF196.0  -13.735    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF197.0  -13.731    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF198.0  -13.727    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF199.0  -13.723    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF200.0  -13.719    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF201.0  -13.714    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF202.0  -13.710    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF203.0  -13.706    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF204.0  -13.702    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF205.0  -13.698    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF206.0  -13.694    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF207.0  -13.690    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF208.0  -13.686    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF209.0  -13.682    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF210.0  -13.678    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF211.0  -13.674    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF212.0  -13.670    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF213.0  -13.666    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF214.0  -13.661    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF215.0  -13.657    0.00 8.918      0.00    0.00    0.00    0.00    0.00
OF216.0  -13.653    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF217.0  -13.649    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF218.0  -13.645    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF219.0  -13.641    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF220.0  -13.637    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF221.0  -13.633    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF222.0  -13.629    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF223.0  -13.625    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF224.0  -13.621    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF225.0  -13.617    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF226.0  -13.613    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF227.0  -13.608    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF228.0  -13.604    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF229.0  -13.600    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF230.0  -13.596    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF231.0  -13.592    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF232.0  -13.588    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF233.0  -13.584    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF234.0  -13.580    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
OF235.0  -13.576    0.00 8.9179     0.00    0.00    0.00    0.00    0.00
