header
IE0.0    -10.758       1       1 8.811   7.5088  13.4742   56.14   56.14
OF140.0  -12.563    0.00 8.8131     0.00    0.00    0.00    0.00    0.00
OF141.0  -12.567    0.00 8.8131     0.00    0.00    0.00    0.00    0.00
OF142.0  -12.572    0.00 8.8131     0.00    0.00    0.00    0.00    0.00
OF143.0  -12.576    0.00 8.8131     0.00    0.00    0.00    0.00    0.00
OF144.0  -12.580    0.00 8.8132     0.00    0.00    0.00    0.00    0.00
OF145.0  -12.584    0.00 8.8132     0.00    0.00    0.00    0.00    0.00
OF146.0  -12.588    0.00 8.8132     0.00    0.00    0.00    0.00    0.00
OF147.0  -12.592    0.00 8.8132     0.00    0.00    0.00    0.00    0.00
OF148.0  -12.596    0.00 8.8132     0.00    0.00    0.00    0.00    0.00
OF149.0  -12.600    0.00 8.8132     0.00    0.00    0.00    0.00    0.00
OF150.0  -12.604    0.00 8.8132     0.00    0.00    0.00    0.00    0.00
OF151.0  -12.608    0.00 8.8133     0.00    0.00    0.00    0.00    0.00
OF152.0  -12.612    0.00 8.8133     0.00    0.00    0.00    0.00    0.00
OF153.0  -12.616    0.00 8.8133     0.00    0.00    0.00    0.00    0.00
OF154.0  -12.620    0.00 8.8133     0.00    0.00    0.00    0.00    0.00
OF155.0  -12.624    0.00 8.8133     0.00    0.00    0.00    0.00    0.00
OF156.0  -12.629    0.00 8.8133     0.00    0.00    0.00    0.00    0.00
OF157.0  -12.633    0.00 8.8134     0.00    0.00    0.00    0.00    0.00
OF158.0  -12.637    0.00 8.8134     0.00    0.00    0.00    0.00    0.00
OF159.0  -12.641    0.00 8.8134     0.00    0.00    0.00    0.00    0.00
OF160.8  -12.648    0.00 8.811      0.00    0.00    0.00    0.00    0.00
OF164.0  -12.661    0.00 8.811      0.00    0.00    0.00    0.00    0.00
IF941.6  2.8129     0.00 8.8135     0.00    0.00    0.00    0.00    0.00
IF944.9  3.2077     0.00 8.8198     0.00    0.00    0.00    0.00    0.00
IF948.2  4.013      0.00 8.8189     0.00    0.00    0.00    0.00    0.00
IF951.4  4.8184     0.00 8.8223     0.00    0.00    0.00    0.00    0.00
IF954.7  4.9547     0.00 8.8624     0.00    0.00    0.00    0.00    0.00
IF958.0  5.0789     0.00 8.9021     0.00    0.00    0.00    0.00    0.00
IF961.3  5.2031     0.00 8.9401     0.00    0.00    0.00    0.00    0.00
IF964.6  5.327      0.00 8.9743     0.00    0.00    0.00    0.00    0.00
IF967.8  5.4393     0.00 9.0013     0.00    0.00    0.00    0.00    0.00
IF971.1  5.5517     0.00 9.0272     0.00    0.00    0.00    0.00    0.00
IF974.4  5.664      0.00 9.0534     0.00    0.00    0.00    0.00    0.00
IF977.7  5.7584     0.00 9.0772     0.00    0.00    0.00    0.00    0.00
IF981.0  5.8359     0.00 9.0991     0.00    0.00    0.00    0.00    0.00
IF984.2  5.9134     0.00 9.115      0.00    0.00    0.00    0.00    0.00
IF987.5  5.9909     0.00 9.1318     0.00    0.00    0.00    0.00    0.00
IF990.8  6.2627     0.00 9.1439     0.00    0.00    0.00    0.00    0.00
IF994.1  6.616      0.00 9.1571     0.00    0.00    0.00    0.00    0.00
IF997.4  6.9693     0.00 9.1735     0.00    0.00    0.00    0.00    0.00
IF1000.7 7.3225     0.00 9.194      0.00    0.00    0.00    0.00    0.00
IF1003.9 7.6758     0.00 9.2331     0.00    0.00    0.00    0.00    0.00
IF1007.2 8.0291     0.00 9.3081     0.00    0.00    0.00    0.00    0.00
IF1010.5 7.9872     0.00 9.3702     0.00    0.00    0.00    0.00    0.00
IF1013.8 7.8212     0.00 9.3987     0.00    0.00    0.00    0.00    0.00
IF1017.1 7.6553     0.00 9.4146     0.00    0.00    0.00    0.00    0.00
IF1020.3 7.4893     0.00 9.4247     0.00    0.00    0.00    0.00    0.00
IF1023.6 7.3372     0.00 9.4309     0.00    0.00    0.00    0.00    0.00
IF1026.9 7.5516     0.00 9.4305     0.00    0.00    0.00    0.00    0.00
IF1030.2 7.766      0.00 9.4319     0.00    0.00    0.00    0.00    0.00
IF1033.5 7.9804     0.00 9.4348     0.00    0.00    0.00    0.00    0.00
IF1036.7 8.1414     0.00 9.443      0.00    0.00    0.00    0.00    0.00
IF1040.0 8.2149     0.00 9.4547     0.00    0.00    0.00    0.00    0.00
IF1043.3 8.2885     0.00 9.4653     0.00    0.00    0.00    0.00    0.00
IF1046.6 8.3621     0.00 9.4751     0.00    0.00    0.00    0.00    0.00
IF1049.9 8.404      0.00 9.4842     0.00    0.00    0.00    0.00    0.00
IF1053.1 8.4337     0.00 9.4927     0.00    0.00    0.00    0.00    0.00
IF1056.4 8.4634     0.00 9.5        0.00    0.00    0.00    0.00    0.00
IF1059.7 8.4374     0.00 9.5052     0.00    0.00    0.00    0.00    0.00
IF1063.0 8.3601     0.00 9.5101     0.00    0.00    0.00    0.00    0.00
IF1066.3 8.2828     0.00 9.5128     0.00    0.00    0.00    0.00    0.00
IF1069.6 8.2372     0.00 9.5142     0.00    0.00    0.00    0.00    0.00
IF1072.8 8.3487     0.00 9.514      0.00    0.00    0.00    0.00    0.00
IF1076.1 8.4601     0.00 9.5142     0.00    0.00    0.00    0.00    0.00
IF1079.4 8.542      0.00 9.5153     0.00    0.00    0.00    0.00    0.00
IF1082.7 8.6023     0.00 9.5176     0.00    0.00    0.00    0.00    0.00
IF1086.0 8.6626     0.00 9.5208     0.00    0.00    0.00    0.00    0.00
IF1089.2 8.7229     0.00 9.5237     0.00    0.00    0.00    0.00    0.00
IF1092.5 8.8222     0.00 9.527      0.00    0.00    0.00    0.00    0.00
IF1095.8 8.9333     0.00 9.5319     0.00    0.00    0.00    0.00    0.00
IF1099.1 9.0444     0.00 9.5402     0.00    0.00    0.00    0.00    0.00
IF1102.4 9.1555     0.00 9.5502     0.00    0.00    0.00    0.00    0.00
IF1105.6 9.2667     0.00 9.5629     0.00    0.00    0.00    0.00    0.00
IF1108.5 9.3635     0.00 9.5629     0.00    0.00    0.00    0.00    0.00
IF1111.5 9.5629     0.00 9.5629     0.00    0.00    0.00    0.00    0.00
PS START(428718.5136,4849440.838)
PS END(428489.2151,4849795.1035)
ET
 
 
 
