header
OF1038.0 -15.587    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF1043.0 -15.538    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF1044.0 -15.529    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF1049.0 -15.480    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF1050.0 -15.470    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF1055.0 -15.422    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF1056.0 -15.412    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF1061.0 -15.363    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF1062.0 -15.354    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF1067.0 -15.305    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF1068.0 -15.295    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF1073.0 -15.247    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF1074.0 -15.237    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF1079.0 -15.188    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF1080.0 -15.179    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF1085.0 -15.130    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF1086.0 -15.120    0.00 8.8549     0.00    0.00    0.00    0.00    0.00
OF1091.0 -15.072    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1092.0 -15.062    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1097.0 -14.765    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1098.0 -14.631    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1103.0 -13.963    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1104.0 -13.829    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1109.0 -13.161    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1110.0 -13.030    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1119.0 -12.743    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1120.0 -12.738    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1126.0 -12.717    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1127.0 -12.713    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1132.0 -12.694    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1133.0 -12.690    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1139.0 -12.669    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1140.0 -12.665    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1145.0 -12.646    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1146.0 -12.642    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1152.0 -12.620    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1153.0 -12.616    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1158.0 -12.598    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1159.0 -12.594    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1165.0 -12.572    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1166.0 -12.568    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1175.0 -12.535    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1176.0 -12.531    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1181.0 -12.513    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1182.0 -12.509    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1187.0 -12.490    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1188.0 -12.486    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1194.0 -12.465    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1195.0 -12.461    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1200.0 -12.442    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1201.0 -12.438    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1207.0 -12.417    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1208.0 -12.413    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1213.0 -12.394    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1214.0 -12.390    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1220.0 -12.368    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1221.0 -12.364    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1230.0 -12.331    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1231.0 -12.328    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1236.0 -12.309    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1237.0 -12.305    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1243.0 -12.283    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1244.0 -12.279    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1249.0 -12.261    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1250.0 -12.257    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1264.0 -14.457    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF1270.0 -14.976    0.00 8.8526     0.00    0.00    0.00    0.00    0.00
OF1271.0 -14.975    0.00 8.8526     0.00    0.00    0.00    0.00    0.00
OF1276.0 -14.974    0.00 8.8526     0.00    0.00    0.00    0.00    0.00
OF1277.0 -14.974    0.00 8.8526     0.00    0.00    0.00    0.00    0.00
OF1282.0 -14.972    0.00 8.8526     0.00    0.00    0.00    0.00    0.00
OF1283.0 -14.972    0.00 8.8526     0.00    0.00    0.00    0.00    0.00
OF1288.0 -14.970    0.00 8.8526     0.00    0.00    0.00    0.00    0.00
OF1289.0 -14.970    0.00 8.8526     0.00    0.00    0.00    0.00    0.00
OF1294.0 -14.968    0.00 8.8526     0.00    0.00    0.00    0.00    0.00
OF1295.0 -14.968    0.00 8.8526     0.00    0.00    0.00    0.00    0.00
OF1300.0 -14.966    0.00 8.8526     0.00    0.00    0.00    0.00    0.00
OF1301.0 -14.966    0.00 8.8526     0.00    0.00    0.00    0.00    0.00
OF1306.0 -14.964    0.00 8.8526     0.00    0.00    0.00    0.00    0.00
OF1307.0 -14.964    0.00 8.8526     0.00    0.00    0.00    0.00    0.00
OF1312.0 -14.962    0.00 8.8526     0.00    0.00    0.00    0.00    0.00
OF1313.0 -14.962    0.00 8.8526     0.00    0.00    0.00    0.00    0.00
OF1318.0 -14.960    0.00 8.8526     0.00    0.00    0.00    0.00    0.00
OF1319.0 -14.960    0.00 8.8526     0.00    0.00    0.00    0.00    0.00
OF1324.0 -14.958    0.00 8.8526     0.00    0.00    0.00    0.00    0.00
OF1325.0 -14.958    0.00 8.8526     0.00    0.00    0.00    0.00    0.00
OF1330.0 -14.956    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1331.0 -14.956    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1336.0 -14.954    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1337.0 -14.954    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1342.0 -14.952    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1343.0 -14.952    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1348.0 -14.950    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1349.0 -14.950    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1354.0 -14.949    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1355.0 -14.948    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1360.0 -14.947    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1361.0 -14.946    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1366.0 -14.942    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1367.0 -14.940    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1372.0 -14.931    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1373.0 -14.929    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1378.0 -14.920    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1379.0 -14.918    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1384.0 -14.909    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1385.0 -14.907    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1390.0 -14.898    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1391.0 -14.896    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1396.0 -14.887    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1397.0 -14.885    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1402.0 -14.878    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1403.0 -14.877    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1408.0 -14.876    0.00 8.8525     0.00    0.00    0.00    0.00    0.00
OF1409.0 -14.876    0.00 8.8524     0.00    0.00    0.00    0.00    0.00
OF1414.0 -14.874    0.00 8.8524     0.00    0.00    0.00    0.00    0.00
OF1415.0 -14.874    0.00 8.8524     0.00    0.00    0.00    0.00    0.00
OF1420.0 -14.873    0.00 8.8524     0.00    0.00    0.00    0.00    0.00
OF1421.0 -14.872    0.00 8.8524     0.00    0.00    0.00    0.00    0.00
OF1426.0 -14.871    0.00 8.8524     0.00    0.00    0.00    0.00    0.00
OF1427.0 -14.871    0.00 8.8524     0.00    0.00    0.00    0.00    0.00
OF1432.0 -14.869    0.00 8.8524     0.00    0.00    0.00    0.00    0.00
OF1433.0 -14.869    0.00 8.8524     0.00    0.00    0.00    0.00    0.00
OF1438.0 -14.868    0.00 8.8523     0.00    0.00    0.00    0.00    0.00
OF1439.0 -14.867    0.00 8.8523     0.00    0.00    0.00    0.00    0.00
OF1444.0 -14.866    0.00 8.8523     0.00    0.00    0.00    0.00    0.00
OF1445.0 -14.866    0.00 8.8523     0.00    0.00    0.00    0.00    0.00
OF1450.0 -14.864    0.00 8.8523     0.00    0.00    0.00    0.00    0.00
OF1451.0 -14.864    0.00 8.8523     0.00    0.00    0.00    0.00    0.00
OF1456.0 -14.863    0.00 8.8523     0.00    0.00    0.00    0.00    0.00
OF1457.0 -14.862    0.00 8.8523     0.00    0.00    0.00    0.00    0.00
OF1462.0 -14.861    0.00 8.8522     0.00    0.00    0.00    0.00    0.00
OF1463.0 -14.861    0.00 8.8522     0.00    0.00    0.00    0.00    0.00
OF1468.0 -14.859    0.00 8.8522     0.00    0.00    0.00    0.00    0.00
OF1469.0 -14.859    0.00 8.8522     0.00    0.00    0.00    0.00    0.00
OF1474.0 -14.858    0.00 8.8522     0.00    0.00    0.00    0.00    0.00
OF1475.0 -14.857    0.00 8.8522     0.00    0.00    0.00    0.00    0.00
OF1480.0 -14.856    0.00 8.8522     0.00    0.00    0.00    0.00    0.00
OF1481.0 -14.856    0.00 8.8522     0.00    0.00    0.00    0.00    0.00
OF1486.0 -14.854    0.00 8.8522     0.00    0.00    0.00    0.00    0.00
OF1487.0 -14.854    0.00 8.8522     0.00    0.00    0.00    0.00    0.00
OF1492.0 -14.853    0.00 8.8521     0.00    0.00    0.00    0.00    0.00
OF1493.0 -14.852    0.00 8.8521     0.00    0.00    0.00    0.00    0.00
OF1498.0 -14.831    0.00 8.8521     0.00    0.00    0.00    0.00    0.00
OF1499.0 -14.824    0.00 8.8521     0.00    0.00    0.00    0.00    0.00
OF1504.0 -14.789    0.00 8.8521     0.00    0.00    0.00    0.00    0.00
OF1505.0 -14.782    0.00 8.8521     0.00    0.00    0.00    0.00    0.00
OF1510.0 -14.746    0.00 8.8521     0.00    0.00    0.00    0.00    0.00
OF1511.0 -14.739    0.00 8.8521     0.00    0.00    0.00    0.00    0.00
OF1516.0 -14.703    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1517.0 -14.696    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1522.0 -14.661    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1523.0 -14.654    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1528.0 -14.618    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1529.0 -14.611    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1534.0 -14.575    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1535.0 -14.568    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1540.0 -14.532    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1541.0 -14.525    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1546.0 -14.49     0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1547.0 -14.482    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1552.0 -14.447    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1553.0 -14.440    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1558.0 -14.404    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1559.0 -14.397    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1564.0 -14.361    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1565.0 -14.354    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1570.0 -14.318    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1571.0 -14.311    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1576.0 -14.276    0.00 8.852      0.00    0.00    0.00    0.00    0.00
OF1577.0 -14.269    0.00 8.852      0.00    0.00    0.00    0.00    0.00
