header
IE0.0    -19.593       1       1 9.0068  6.2314  5         56.14   56.14
OF288.0  -5.446     0.00 9.0085     0.00    0.00    0.00    0.00    0.00
OF290.0  -5.3944    0.00 9.0085     0.00    0.00    0.00    0.00    0.00
OF292.0  -5.4345    0.00 9.0085     0.00    0.00    0.00    0.00    0.00
OF294.0  -5.4746    0.00 9.0085     0.00    0.00    0.00    0.00    0.00
OF296.0  -5.5147    0.00 9.0085     0.00    0.00    0.00    0.00    0.00
OF298.0  -5.5548    0.00 9.0085     0.00    0.00    0.00    0.00    0.00
OF300.0  -5.5949    0.00 9.0085     0.00    0.00    0.00    0.00    0.00
OF302.0  -5.4995    0.00 9.0085     0.00    0.00    0.00    0.00    0.00
OF304.0  -5.3531    0.00 9.0086     0.00    0.00    0.00    0.00    0.00
OF306.0  -5.3469    0.00 9.0086     0.00    0.00    0.00    0.00    0.00
OF308.0  -5.3736    0.00 9.0086     0.00    0.00    0.00    0.00    0.00
OF310.0  -5.4002    0.00 9.0086     0.00    0.00    0.00    0.00    0.00
OF312.0  -5.4269    0.00 9.0086     0.00    0.00    0.00    0.00    0.00
OF314.0  -5.4535    0.00 9.0086     0.00    0.00    0.00    0.00    0.00
OF316.0  -5.4852    0.00 9.0086     0.00    0.00    0.00    0.00    0.00
OF318.0  -5.525     0.00 9.0086     0.00    0.00    0.00    0.00    0.00
OF320.0  -5.5647    0.00 9.0086     0.00    0.00    0.00    0.00    0.00
OF322.0  -5.6044    0.00 9.0086     0.00    0.00    0.00    0.00    0.00
OF324.0  -5.6442    0.00 9.0086     0.00    0.00    0.00    0.00    0.00
OF326.0  -5.6127    0.00 9.0086     0.00    0.00    0.00    0.00    0.00
OF328.0  -5.5477    0.00 9.0086     0.00    0.00    0.00    0.00    0.00
OF330.0  -5.5016    0.00 9.0086     0.00    0.00    0.00    0.00    0.00
OF332.0  -5.4699    0.00 9.0087     0.00    0.00    0.00    0.00    0.00
OF334.0  -5.5372    0.00 9.0087     0.00    0.00    0.00    0.00    0.00
OF336.0  -5.625     0.00 9.0087     0.00    0.00    0.00    0.00    0.00
OF338.0  -5.7128    0.00 9.0087     0.00    0.00    0.00    0.00    0.00
OF340.0  -5.6895    0.00 9.0087     0.00    0.00    0.00    0.00    0.00
OF342.0  -5.5935    0.00 9.0087     0.00    0.00    0.00    0.00    0.00
OF344.0  -5.4974    0.00 9.0087     0.00    0.00    0.00    0.00    0.00
OF346.0  -5.4014    0.00 9.0087     0.00    0.00    0.00    0.00    0.00
