X,Y,Z,STA,source
-70.1012106200,43.6978347600,-8.8951040604,-242.00,Maine ADCIRC model
-70.1012143800,43.6978350100,-8.8962082880,-241.00,Maine ADCIRC model
-70.1012181500,43.6978352600,-8.8973183718,-240.00,Maine ADCIRC model
-70.1012219200,43.6978355100,-8.8984284557,-239.00,Maine ADCIRC model
-70.1012256800,43.6978357600,-8.8995326833,-238.00,Maine ADCIRC model
-70.1012294500,43.6978360100,-8.9006427671,-237.00,Maine ADCIRC model
-70.1012332200,43.6978362600,-8.9017528510,-236.00,Maine ADCIRC model
-70.1012369800,43.6978365100,-8.9028570786,-235.00,Maine ADCIRC model
-70.1012407500,43.6978367700,-8.9039232532,-234.00,Maine ADCIRC model
-70.1012445100,43.6978370200,-8.9050274808,-233.00,Maine ADCIRC model
-70.1012482800,43.6978372700,-8.9061375647,-232.00,Maine ADCIRC model
-70.1012520500,43.6978375200,-8.9072476486,-231.00,Maine ADCIRC model
-70.1012558100,43.6978377700,-8.9083518761,-230.00,Maine ADCIRC model
-70.1012595800,43.6978380200,-8.9094619600,-229.00,Maine ADCIRC model
-70.1012633500,43.6978382700,-8.9105720439,-228.00,Maine ADCIRC model
-70.1012671100,43.6978385200,-8.9116762715,-227.00,Maine ADCIRC model
-70.1012708800,43.6978387700,-8.9127863554,-226.00,Maine ADCIRC model
-70.1012746500,43.6978390200,-8.9138964392,-225.00,Maine ADCIRC model
-70.1012784100,43.6978392700,-8.9150006668,-224.00,Maine ADCIRC model
-70.1012821800,43.6978395200,-8.9161107507,-223.00,Maine ADCIRC model
-70.1012859500,43.6978397700,-8.9172208345,-222.00,Maine ADCIRC model
-70.1012897100,43.6978400200,-8.9180827138,-221.00,Maine ADCIRC model
-70.1012934800,43.6978402700,-8.9172369755,-220.00,Maine ADCIRC model
-70.1012972400,43.6978405200,-8.9163903618,-219.00,Maine ADCIRC model
-70.1013010100,43.6978407700,-8.9155446234,-218.00,Maine ADCIRC model
-70.1013047800,43.6978410200,-8.9146988851,-217.00,Maine ADCIRC model
-70.1013085400,43.6978412700,-8.9138522714,-216.00,Maine ADCIRC model
-70.1013123100,43.6978415300,-8.9129595035,-215.00,Maine ADCIRC model
-70.1013160800,43.6978417800,-8.9121137651,-214.00,Maine ADCIRC model
-70.1013198400,43.6978420300,-8.9112671514,-213.00,Maine ADCIRC model
-70.1013236100,43.6978422800,-8.9104214130,-212.00,Maine ADCIRC model
-70.1013273800,43.6978425300,-8.9095756747,-211.00,Maine ADCIRC model
-70.1013311400,43.6978427800,-8.9087290610,-210.00,Maine ADCIRC model
-70.1013349100,43.6978430300,-8.9078833227,-209.00,Maine ADCIRC model
-70.1013386800,43.6978432800,-8.9070375843,-208.00,Maine ADCIRC model
-70.1013424400,43.6978435300,-8.9061909706,-207.00,Maine ADCIRC model
-70.1013462100,43.6978437800,-8.9053452323,-206.00,Maine ADCIRC model
-70.1013499700,43.6978440300,-8.9044986186,-205.00,Maine ADCIRC model
-70.1013537400,43.6978442800,-8.9036528803,-204.00,Maine ADCIRC model
-70.1013575100,43.6978445300,-8.9028071419,-203.00,Maine ADCIRC model
-70.1013612700,43.6978447800,-8.9019605282,-202.00,Maine ADCIRC model
-70.1013650400,43.6978450300,-8.9011147899,-201.00,Maine ADCIRC model
-70.1013688100,43.6978452800,-8.9002690515,-200.00,Maine ADCIRC model
-70.1013725700,43.6978455300,-8.8994224378,-199.00,Maine ADCIRC model
-70.1013763400,43.6978457800,-8.8985766995,-198.00,Maine ADCIRC model
-70.1013801100,43.6978460300,-8.8977309611,-197.00,Maine ADCIRC model
-70.1013838700,43.6978462800,-8.8968843475,-196.00,Maine ADCIRC model
-70.1013876400,43.6978465400,-8.8959915795,-195.00,Maine ADCIRC model
-70.1013914100,43.6978467900,-8.8951458411,-194.00,Maine ADCIRC model
-70.1013951700,43.6978470400,-8.8942992275,-193.00,Maine ADCIRC model
-70.1013989400,43.6978472900,-8.8934534891,-192.00,Maine ADCIRC model
-70.1014027100,43.6978475400,-8.8926077508,-191.00,Maine ADCIRC model
-70.1014064700,43.6978477900,-8.8917611371,-190.00,Maine ADCIRC model
-70.1014102400,43.6978480400,-8.8909153987,-189.00,Maine ADCIRC model
-70.1014140000,43.6978482900,-8.8900687850,-188.00,Maine ADCIRC model
-70.1014177700,43.6978485400,-8.8892230467,-187.00,Maine ADCIRC model
-70.1014215400,43.6978487900,-8.8883773083,-186.00,Maine ADCIRC model
-70.1014253000,43.6978490400,-8.8875306946,-185.00,Maine ADCIRC model
-70.1014290700,43.6978492900,-8.8866849563,-184.00,Maine ADCIRC model
-70.1014328400,43.6978495400,-8.8858392180,-183.00,Maine ADCIRC model
-70.1014366000,43.6978497900,-8.8849926043,-182.00,Maine ADCIRC model
-70.1014403700,43.6978500400,-8.8841468659,-181.00,Maine ADCIRC model
-70.1014441400,43.6978502900,-8.8833011276,-180.00,Maine ADCIRC model
-70.1014479000,43.6978505400,-8.8824545139,-179.00,Maine ADCIRC model
-70.1014516700,43.6978507900,-8.8816087756,-178.00,Maine ADCIRC model
-70.1014554400,43.6978510400,-8.8807630372,-177.00,Maine ADCIRC model
-70.1014592000,43.6978512900,-8.8799164235,-176.00,Maine ADCIRC model
-70.1014629700,43.6978515500,-8.8790236555,-175.00,Maine ADCIRC model
-70.1014667300,43.6978518000,-8.8781770418,-174.00,Maine ADCIRC model
-70.1014705000,43.6978520500,-8.8773313035,-173.00,Maine ADCIRC model
-70.1014742700,43.6978523000,-8.8764855652,-172.00,Maine ADCIRC model
-70.1014780300,43.6978525500,-8.8756389515,-171.00,Maine ADCIRC model
-70.1014818000,43.6978528000,-8.8747932131,-170.00,Maine ADCIRC model
-70.1014855700,43.6978530500,-8.8739474748,-169.00,Maine ADCIRC model
-70.1014893300,43.6978533000,-8.8731008611,-168.00,Maine ADCIRC model
-70.1014931000,43.6978535500,-8.8722551228,-167.00,Maine ADCIRC model
-70.1014968700,43.6978538000,-8.8714093844,-166.00,Maine ADCIRC model
-70.1015006300,43.6978540500,-8.8705627707,-165.00,Maine ADCIRC model
-70.1015044000,43.6978543000,-8.8697170323,-164.00,Maine ADCIRC model
-70.1015081700,43.6978545500,-8.8688712940,-163.00,Maine ADCIRC model
-70.1015119300,43.6978548000,-8.8680246803,-162.00,Maine ADCIRC model
