X,Y,Z,STA,source
-70.4327122200,43.3624411300,-5.8643543049,393.00,Maine ADCIRC model
-70.4327112800,43.3624437900,-5.9051978354,394.00,Maine ADCIRC model
-70.4327103300,43.3624464500,-5.9461552410,395.00,Maine ADCIRC model
-70.4327093900,43.3624491000,-5.9868854660,396.00,Maine ADCIRC model
-70.4327084400,43.3624517600,-6.0278428716,397.00,Maine ADCIRC model
-70.4327075000,43.3624544200,-6.0686864021,398.00,Maine ADCIRC model
-70.4327065500,43.3624570700,-6.1095305021,399.00,Maine ADCIRC model
-70.4327056100,43.3624597300,-6.1503740327,400.00,Maine ADCIRC model
-70.4327046600,43.3624623800,-6.1912181328,401.00,Maine ADCIRC model
-70.4327037200,43.3624650400,-6.2320616633,402.00,Maine ADCIRC model
-70.4327027700,43.3624677000,-6.2730190689,403.00,Maine ADCIRC model
-70.4327018300,43.3624703500,-6.3137492940,404.00,Maine ADCIRC model
-70.4327008800,43.3624730100,-6.3547066996,405.00,Maine ADCIRC model
-70.4326999400,43.3624756600,-6.3954369245,406.00,Maine ADCIRC model
-70.4326989900,43.3624783200,-6.4363943301,407.00,Maine ADCIRC model
-70.4326980500,43.3624809800,-6.4772378607,408.00,Maine ADCIRC model
-70.4326971000,43.3624836300,-6.5180819607,409.00,Maine ADCIRC model
-70.4326961600,43.3624862900,-6.5589254912,410.00,Maine ADCIRC model
-70.4326952200,43.3624889400,-6.5996557162,411.00,Maine ADCIRC model
-70.4326942700,43.3624916000,-6.6406131218,412.00,Maine ADCIRC model
-70.4326933300,43.3624942600,-6.6814566523,413.00,Maine ADCIRC model
-70.4326923800,43.3624969100,-6.7223007523,414.00,Maine ADCIRC model
-70.4326914400,43.3624995700,-6.7631442829,415.00,Maine ADCIRC model
-70.4326904900,43.3625022300,-6.8041016885,416.00,Maine ADCIRC model
-70.4326895500,43.3625048800,-6.8448319135,417.00,Maine ADCIRC model
