 WAVE HEIGHT COMPUTATIONS FOR FLOOD INSURANCE STUDIES (WHAFIS VERSION 4.0G, 08_2007)
 Executed on: Mon May 11 15:31:26 2020
 Input file:  C:\FEMA-TransectAnalysis\LOMR-TransectAnalysis-Biddeford\3_whafis\whafis4\YK-121.dat                                            
 Output file: C:\FEMA-TransectAnalysis\LOMR-TransectAnalysis-Biddeford\3_whafis\whafis4\YK-121.out                                            
                                                              header                                                                
                                                     THIS IS A 100-YEAR CASE
                                       THE FOLLOWING NON-DEFAULT WIND SPEEDS ARE BEING USED
                                            WINDIF  56.14  WINDOF  56.14  WINDVH  60.00
                                                             PART1 INPUT
          IF    841.000      3.455      0.000      9.063      0.000      0.000      0.000      0.000      0.030      0.000
          IF    851.500      3.865      0.000      9.063      0.000      0.000      0.000      0.000      0.000      0.000
          IF    860.000      3.455      0.000      9.063      0.000      0.000      0.000      0.000      0.001      0.000
          IF    870.500      3.881      0.000      9.063      0.000      0.000      0.000      0.000      0.034      0.000
          IF    880.000      4.144      0.000      9.063      0.000      0.000      0.000      0.000      0.014      0.000
          IF    885.000      4.078      0.000      9.062      0.000      0.000      0.000      0.000     -0.014      0.000
          IF    891.500      3.980      0.000      9.062      0.000      0.000      0.000      0.000     -0.004      0.000
          IF    903.500      4.012      0.000      9.062      0.000      0.000      0.000      0.000     -0.003      0.000
          IF    916.000      3.914      0.000      9.062      0.000      0.000      0.000      0.000      0.007      0.000
          IF    923.000      4.157      0.000      9.062      0.000      0.000      0.000      0.000      0.007      0.000
          IF    930.500      4.012      0.000      9.062      0.000      0.000      0.000      0.000     -0.010      0.000
          IF    940.000      3.980      0.000      9.061      0.000      0.000      0.000      0.000      0.000      0.000
          IF    952.500      4.012      0.000      9.061      0.000      0.000      0.000      0.000      0.008      0.000
          IF    959.500      4.144      0.000      9.061      0.000      0.000      0.000      0.000     -0.002      0.000
          IF    967.000      3.980      0.000      9.061      0.000      0.000      0.000      0.000     -0.032      0.000
          IF    974.000      3.684      0.000      9.061      0.000      0.000      0.000      0.000     -0.002      0.000
          IF    989.500      3.947      0.000      9.061      0.000      0.000      0.000      0.000      0.016      0.000
          IF   1006.500      4.209      0.000      9.061      0.000      0.000      0.000      0.000     -0.015      0.000
          IF   1016.500      3.553      0.000      9.061      0.000      0.000      0.000      0.000     -0.014      0.000
          IF   1025.500      3.947      0.000      9.061      0.000      0.000      0.000      0.000      0.076      0.000
          IF   1034.000      4.879      0.000      9.061      0.000      0.000      0.000      0.000      0.029      0.000
          IF   1040.000      4.373      0.000      9.061      0.000      0.000      0.000      0.000     -0.036      0.000
          IF   1054.500      4.144      0.000      9.061      0.000      0.000      0.000      0.000      0.000      0.000
          IF   1062.500      4.373      0.000      9.061      0.000      0.000      0.000      0.000     -0.002      0.000
          IF   1067.500      4.111      0.000      9.061      0.000      0.000      0.000      0.000      0.049      0.000
          IF   1071.500      4.813      0.000      9.061      0.000      0.000      0.000      0.000     -0.011      0.000
          IF   1079.500      3.980      0.000      9.061      0.000      0.000      0.000      0.000     -0.039      0.000
          IF   1095.500      3.881      0.000      9.061      0.000      0.000      0.000      0.000      0.035      0.000
          IF   1107.000      4.944      0.000      9.061      0.000      0.000      0.000      0.000      0.067      0.000
