X,Y,Z,STA
 -70.6559426236,   43.0788024855, -34.0342, -2421.00
 -70.6559463603,   43.0788026500, -34.0789, -2420.00
 -70.6559500970,   43.0788028144, -34.1236, -2419.00
 -70.6559538300,   43.0788029789, -34.1683, -2418.00
 -70.6559575668,   43.0788031433, -34.2129, -2417.00
 -70.6559613035,   43.0788033078, -34.2576, -2416.00
 -70.6559650402,   43.0788034722, -34.3023, -2415.00
 -70.6559687769,   43.0788036367, -34.3470, -2414.00
 -70.6559725137,   43.0788038012, -34.3917, -2413.00
 -70.6559762467,   43.0788039656, -34.4364, -2412.00
 -70.6559799834,   43.0788041301, -34.4810, -2411.00
 -70.6559837201,   43.0788042946, -34.5257, -2410.00
 -70.6559874569,   43.0788044590, -34.5704, -2409.00
 -70.6559911936,   43.0788046235, -34.6151, -2408.00
 -70.6559949303,   43.0788047879, -34.6598, -2407.00
 -70.6559986633,   43.0788049524, -34.7045, -2406.00
 -70.6560024000,   43.0788051169, -34.7492, -2405.00
 -70.6560061368,   43.0788052813, -34.7938, -2404.00
 -70.6560098735,   43.0788054458, -34.8385, -2403.00
 -70.6560136102,   43.0788056102, -34.8832, -2402.00
 -70.6560173470,   43.0788057747, -34.9279, -2401.00
 -70.6560210799,   43.0788059392, -34.9726, -2400.00
 -70.6560248167,   43.0788061036, -35.0173, -2399.00
 -70.6560285534,   43.0788062681, -35.0619, -2398.00
 -70.6560322901,   43.0788064325, -35.1066, -2397.00
 -70.6560360269,   43.0788065970, -35.1513, -2396.00
 -70.6560397636,   43.0788067614, -35.1960, -2395.00
 -70.6560434966,   43.0788069259, -35.2407, -2394.00
 -70.6560472333,   43.0788070904, -35.2854, -2393.00
 -70.6560509701,   43.0788072548, -35.3300, -2392.00
 -70.6560547068,   43.0788074193, -35.3747, -2391.00
 -70.6560584435,   43.0788075837, -35.4194, -2390.00
 -70.6560621802,   43.0788077482, -35.4641, -2389.00
 -70.6560659132,   43.0788079127, -35.5088, -2388.00
 -70.6560696500,   43.0788080771, -35.5535, -2387.00
 -70.6560733867,   43.0788082416, -35.5982, -2386.00
 -70.6560771234,   43.0788084060, -35.6428, -2385.00
 -70.6560808602,   43.0788085705, -35.6875, -2384.00
 -70.6560845969,   43.0788087349, -35.7322, -2383.00
 -70.6560883299,   43.0788088994, -35.7769, -2382.00
 -70.6560920666,   43.0788090639, -35.8216, -2381.00
 -70.6560958033,   43.0788092283, -35.8663, -2380.00
 -70.6560995401,   43.0788093928, -35.9109, -2379.00
 -70.6561032768,   43.0788095572, -35.9556, -2378.00
 -70.6561070135,   43.0788097217, -36.0003, -2377.00
 -70.6561107465,   43.0788098861, -36.0450, -2376.00
 -70.6561144833,   43.0788100506, -36.0897, -2375.00
 -70.6561182200,   43.0788102151, -36.1344, -2374.00
 -70.6561219567,   43.0788103795, -36.1790, -2373.00
 -70.6561256934,   43.0788105440, -36.2237, -2372.00
 -70.6561294302,   43.0788107084, -36.2684, -2371.00
 -70.6561331632,   43.0788108729, -36.3131, -2370.00
 -70.6561368999,   43.0788110374, -36.3578, -2369.00
 -70.6561406366,   43.0788112018, -36.4025, -2368.00
 -70.6561443734,   43.0788113662, -36.4472, -2367.00
 -70.6561481101,   43.0788115307, -36.4918, -2366.00
 -70.6561518468,   43.0788116951, -36.5365, -2365.00
 -70.6561555798,   43.0788118596, -36.5812, -2364.00
