X,Y,Z,STA
 -70.5459708540,  43.3214220010,-23.9966,-1574.10
 -70.5459765550,  43.3214255710,-23.9573,-1572.10
 -70.5459822650,  43.3214291420,-23.9180,-1570.10
 -70.5459879750,  43.3214327120,-23.8787,-1568.10
 -70.5459936840,  43.3214362820,-23.8393,-1566.10
 -70.5459993940,  43.3214398520,-23.8000,-1564.10
 -70.5460050950,  43.3214434220,-23.7607,-1562.10
 -70.5460108050,  43.3214470010,-23.7213,-1560.10
 -70.5460165150,  43.3214505710,-23.6820,-1558.10
 -70.5460222240,  43.3214541410,-23.6427,-1556.10
 -70.5460279340,  43.3214577110,-23.6034,-1554.10
 -70.5460336350,  43.3214612810,-23.5640,-1552.10
 -70.5460393450,  43.3214648520,-23.5247,-1550.10
 -70.5460450550,  43.3214684220,-23.4854,-1548.10
 -70.5460507640,  43.3214719920,-23.4460,-1546.10
 -70.5460564740,  43.3214755620,-23.4067,-1544.10
 -70.5460621750,  43.3214791320,-23.3674,-1542.10
 -70.5460678850,  43.3214827110,-23.3281,-1540.10
 -70.5460735950,  43.3214862810,-23.2887,-1538.10
 -70.5460793040,  43.3214898510,-23.2494,-1536.10
 -70.5460850140,  43.3214934210,-23.2101,-1534.10
 -70.5460907150,  43.3214969910,-23.1707,-1532.10
 -70.5460964250,  43.3215005620,-23.1314,-1530.10
 -70.5461021350,  43.3215041320,-23.0921,-1528.10
 -70.5461078440,  43.3215077020,-23.0528,-1526.10
 -70.5461135540,  43.3215112720,-23.0134,-1524.10
 -70.5461192550,  43.3215148420,-22.9741,-1522.10
 -70.5461249650,  43.3215184210,-22.9348,-1520.10
 -70.5461306750,  43.3215219910,-22.8954,-1518.10
 -70.5461363840,  43.3215255610,-22.8561,-1516.10
 -70.5461420940,  43.3215291310,-22.8168,-1514.10
 -70.5461477950,  43.3215327010,-22.7773,-1512.10
 -70.5461535050,  43.3215362720,-22.7318,-1510.10
 -70.5461592150,  43.3215398420,-22.6863,-1508.10
 -70.5461649240,  43.3215434120,-22.6408,-1506.10
 -70.5461706340,  43.3215469820,-22.5954,-1504.10
 -70.5461763350,  43.3215505520,-22.5499,-1502.10
 -70.5461820450,  43.3215541310,-22.5044,-1500.10
 -70.5461877550,  43.3215577010,-22.4590,-1498.10
 -70.5461934640,  43.3215612710,-22.4135,-1496.10
 -70.5461991740,  43.3215648410,-22.3680,-1494.10
 -70.5462048750,  43.3215684110,-22.3225,-1492.10
 -70.5462105850,  43.3215719820,-22.2771,-1490.10
 -70.5462162950,  43.3215755520,-22.2316,-1488.10
 -70.5462220040,  43.3215791220,-22.1861,-1486.10
 -70.5462277140,  43.3215826920,-22.1407,-1484.10
 -70.5462334150,  43.3215862620,-22.0952,-1482.10
 -70.5462391250,  43.3215898410,-22.0497,-1480.10
 -70.5462448350,  43.3215934110,-22.0042,-1478.10
 -70.5462505440,  43.3215969810,-21.9588,-1476.10
 -70.5462562540,  43.3216005510,-21.9133,-1474.10
 -70.5462619550,  43.3216041210,-21.8678,-1472.10
 -70.5462676650,  43.3216076910,-21.8224,-1470.10
 -70.5462733750,  43.3216112620,-21.7769,-1468.10
 -70.5462790840,  43.3216148320,-21.7314,-1466.10
 -70.5462847940,  43.3216184020,-21.6859,-1464.10
 -70.5462904950,  43.3216219720,-21.6405,-1462.10
 -70.5462962050,  43.3216255510,-21.5950,-1460.10
 -70.5463019150,  43.3216291210,-21.5495,-1458.10
 -70.5463076240,  43.3216326910,-21.5041,-1456.10
 -70.5463133340,  43.3216362610,-21.4586,-1454.10
 -70.5463190350,  43.3216398310,-21.4131,-1452.10
 -70.5463247450,  43.3216434010,-21.4155,-1450.10
 -70.5463304550,  43.3216469720,-21.4207,-1448.10
 -70.5463361640,  43.3216505420,-21.4259,-1446.10
 -70.5463418740,  43.3216541120,-21.4311,-1444.10
 -70.5463475750,  43.3216576820,-21.4363,-1442.10
 -70.5463532850,  43.3216612610,-21.4415,-1440.10
 -70.5463589950,  43.3216648310,-21.4467,-1438.10
 -70.5463647040,  43.3216684010,-21.4519,-1436.10
 -70.5463704140,  43.3216719710,-21.4551,-1434.10
 -70.5463761150,  43.3216755410,-21.4326,-1432.10
 -70.5463818250,  43.3216791110,-21.4100,-1430.10
 -70.5463875350,  43.3216826820,-21.3874,-1428.10
 -70.5463932440,  43.3216862520,-21.3649,-1426.10
 -70.5463989540,  43.3216898220,-21.3423,-1424.10
 -70.5464046550,  43.3216933920,-21.3197,-1422.10
 -70.5464103650,  43.3216969620,-21.2971,-1420.10
 -70.5464160750,  43.3217005410,-21.2746,-1418.10
 -70.5464217840,  43.3217041110,-21.2520,-1416.10
 -70.5464274940,  43.3217076810,-21.2294,-1414.10
 -70.5464331950,  43.3217112510,-21.2069,-1412.10
 -70.5464389050,  43.3217148210,-21.1843,-1410.10
 -70.5464446150,  43.3217183920,-21.1617,-1408.10
 -70.5464503240,  43.3217219620,-21.1392,-1406.10
 -70.5464560340,  43.3217255320,-21.1166,-1404.10
 -70.5464617350,  43.3217291020,-21.0940,-1402.10
 -70.5464674450,  43.3217326720,-21.0715,-1400.10
 -70.5464731550,  43.3217362510,-21.0489,-1398.10
 -70.5464788640,  43.3217398210,-21.0263,-1396.10
 -70.5464845740,  43.3217433910,-21.0037,-1394.10
 -70.5464902750,  43.3217469610,-20.9812,-1392.10
 -70.5464959850,  43.3217505310,-20.9586,-1390.10
 -70.5465016950,  43.3217541020,-20.9360,-1388.10
 -70.5465074040,  43.3217576720,-20.9135,-1386.10
 -70.5465131140,  43.3217612420,-20.8909,-1384.10
 -70.5465188150,  43.3217648120,-20.8683,-1382.10
 -70.5465245250,  43.3217683820,-20.8458,-1380.10
 -70.5465302350,  43.3217719610,-20.8232,-1378.10
 -70.5465359440,  43.3217755310,-20.8006,-1376.10
 -70.5465416540,  43.3217791010,-20.7780,-1374.10
 -70.5465473550,  43.3217826710,-20.7555,-1372.10
 -70.5465530650,  43.3217862410,-20.7329,-1370.10
 -70.5465587750,  43.3217898110,-20.7103,-1368.10
 -70.5465644840,  43.3217933820,-20.6878,-1366.10
 -70.5465701940,  43.3217969520,-20.6652,-1364.10
 -70.5465759040,  43.3218005220,-20.6426,-1362.10
 -70.5465816050,  43.3218040920,-20.6201,-1360.10
 -70.5465873150,  43.3218076710,-20.5975,-1358.10
 -70.5465930250,  43.3218112410,-20.5749,-1356.10
 -70.5465987340,  43.3218148110,-20.5523,-1354.10
 -70.5466044440,  43.3218183810,-20.5298,-1352.10
 -70.5466101450,  43.3218219510,-20.5072,-1350.10
 -70.5466158550,  43.3218255210,-20.4846,-1348.10
 -70.5466215650,  43.3218290920,-20.4621,-1346.10
 -70.5466272740,  43.3218326620,-20.4395,-1344.10
 -70.5466329840,  43.3218362320,-20.4169,-1342.10
 -70.5466386850,  43.3218398020,-20.3944,-1340.10
 -70.5466443950,  43.3218433720,-20.3718,-1338.10
 -70.5466501050,  43.3218469510,-20.3492,-1336.10
 -70.5466558140,  43.3218505210,-20.3266,-1334.10
 -70.5466615240,  43.3218540910,-20.3041,-1332.10
 -70.5466672250,  43.3218576610,-20.2815,-1330.10
 -70.5466729350,  43.3218612310,-20.2589,-1328.10
 -70.5466786450,  43.3218648020,-20.2364,-1326.10
 -70.5466843540,  43.3218683720,-20.2138,-1324.10
 -70.5466900640,  43.3218719420,-20.1912,-1322.10
 -70.5466957650,  43.3218755120,-20.1687,-1320.10
 -70.5467014750,  43.3218790820,-20.1461,-1318.10
 -70.5467071850,  43.3218826610,-20.1235,-1316.10
 -70.5467128940,  43.3218862310,-20.1009,-1314.10
 -70.5467186040,  43.3218898010,-20.0784,-1312.10
 -70.5467243050,  43.3218933710,-20.0558,-1310.10
 -70.5467300150,  43.3218969410,-20.0332,-1308.10
 -70.5467357250,  43.3219005110,-20.0107,-1306.10
 -70.5467414340,  43.3219040820,-19.9881,-1304.10
 -70.5467471440,  43.3219076520,-19.9655,-1302.10
 -70.5467528450,  43.3219112220,-19.9430,-1300.10
 -70.5467585550,  43.3219147920,-19.9204,-1298.10
 -70.5467642650,  43.3219183710,-19.8978,-1296.10
 -70.5467699750,  43.3219219410,-19.8752,-1294.10
 -70.5467756840,  43.3219255110,-19.8527,-1292.10
 -70.5467813940,  43.3219290810,-19.8301,-1290.10
 -70.5467870950,  43.3219326510,-19.8075,-1288.10
 -70.5467928050,  43.3219362210,-19.7850,-1286.10
 -70.5467985150,  43.3219397920,-19.7624,-1284.10
 -70.5468042240,  43.3219433620,-19.7234,-1282.10
 -70.5468099340,  43.3219469320,-19.6666,-1280.10
 -70.5468156350,  43.3219505020,-19.6098,-1278.10
 -70.5468213450,  43.3219540720,-19.5530,-1276.10
 -70.5468270550,  43.3219576510,-19.4962,-1274.10
 -70.5468327640,  43.3219612210,-19.4394,-1272.10
 -70.5468384740,  43.3219647910,-19.3826,-1270.10
 -70.5468441750,  43.3219683610,-19.3259,-1268.10
 -70.5468498850,  43.3219719310,-19.2691,-1266.10
 -70.5468555950,  43.3219755020,-19.2123,-1264.10
 -70.5468613040,  43.3219790720,-19.1555,-1262.10
 -70.5468670140,  43.3219826420,-19.0987,-1260.10
 -70.5468727150,  43.3219862120,-19.0419,-1258.10
 -70.5468784250,  43.3219897820,-18.9851,-1256.10
 -70.5468841350,  43.3219933610,-18.9284,-1254.10
 -70.5468898440,  43.3219969310,-18.8716,-1252.10
 -70.5468955540,  43.3220005010,-18.8148,-1250.10
 -70.5469012550,  43.3220040710,-18.7580,-1248.10
 -70.5469069650,  43.3220076410,-18.7012,-1246.10
 -70.5469126750,  43.3220112110,-18.6444,-1244.10
 -70.5469183850,  43.3220147820,-18.5876,-1242.10
 -70.5469240940,  43.3220183520,-18.5308,-1240.10
 -70.5469298040,  43.3220219220,-18.4741,-1238.10
 -70.5469355050,  43.3220254920,-18.4173,-1236.10
 -70.5469412150,  43.3220290620,-18.3605,-1234.10
 -70.5469469250,  43.3220326410,-18.3037,-1232.10
 -70.5469526340,  43.3220362110,-18.2469,-1230.10
 -70.5469583440,  43.3220397810,-18.1901,-1228.10
 -70.5469640450,  43.3220433510,-18.1333,-1226.10
 -70.5469697550,  43.3220469210,-18.0765,-1224.10
 -70.5469754650,  43.3220504920,-18.0198,-1222.10
 -70.5469811740,  43.3220540620,-17.9630,-1220.10
 -70.5469868840,  43.3220576320,-17.9062,-1218.10
 -70.5469925850,  43.3220612020,-17.8494,-1216.10
 -70.5469982950,  43.3220647720,-17.7926,-1214.10
 -70.5470040050,  43.3220683510,-17.7358,-1212.10
 -70.5470097140,  43.3220719210,-17.6790,-1210.10
 -70.5470154240,  43.3220754910,-17.6222,-1208.10
 -70.5470211250,  43.3220790610,-17.5655,-1206.10
 -70.5470268350,  43.3220826310,-17.5297,-1204.10
 -70.5470325450,  43.3220862010,-17.4956,-1202.10
 -70.5470382550,  43.3220897720,-17.4616,-1200.10
 -70.5470439640,  43.3220933420,-17.4275,-1198.10
 -70.5470496740,  43.3220969120,-17.3935,-1196.10
 -70.5470553750,  43.3221004820,-17.3594,-1194.10
 -70.5470610850,  43.3221040520,-17.3254,-1192.10
 -70.5470667950,  43.3221076310,-17.2913,-1190.10
 -70.5470725040,  43.3221112010,-17.2573,-1188.10
 -70.5470782140,  43.3221147710,-17.2232,-1186.10
 -70.5470839150,  43.3221183410,-17.1892,-1184.10
 -70.5470896250,  43.3221219110,-17.1551,-1182.10
 -70.5470953350,  43.3221254820,-17.1211,-1180.10
 -70.5471010440,  43.3221290520,-17.0870,-1178.10
 -70.5471067540,  43.3221326220,-17.0530,-1176.10
 -70.5471124550,  43.3221361920,-17.0189,-1174.10
 -70.5471181650,  43.3221397620,-16.9849,-1172.10
 -70.5471238750,  43.3221433410,-16.9508,-1170.10
 -70.5471295840,  43.3221469110,-16.9168,-1168.10
 -70.5471352940,  43.3221504810,-16.8827,-1166.10
 -70.5471410040,  43.3221540510,-16.8487,-1164.10
 -70.5471467050,  43.3221576210,-16.8146,-1162.10
 -70.5471524150,  43.3221611910,-16.7806,-1160.10
 -70.5471581250,  43.3221647620,-16.7465,-1158.10
 -70.5471638340,  43.3221683320,-16.7125,-1156.10
 -70.5471695440,  43.3221719020,-16.6784,-1154.10
 -70.5471752450,  43.3221754720,-16.6444,-1152.10
 -70.5471809550,  43.3221790420,-16.6103,-1150.10
 -70.5471866650,  43.3221826210,-16.5763,-1148.10
 -70.5471923740,  43.3221861910,-16.5422,-1146.10
 -70.5471980840,  43.3221897610,-16.5082,-1144.10
 -70.5472037850,  43.3221933310,-16.4741,-1142.10
 -70.5472094950,  43.3221969010,-16.4528,-1140.10
 -70.5472152050,  43.3222004710,-16.4450,-1138.10
 -70.5472209140,  43.3222040420,-16.4371,-1136.10
 -70.5472266240,  43.3222076120,-16.4293,-1134.10
 -70.5472323250,  43.3222111820,-16.4215,-1132.10
 -70.5472380350,  43.3222147520,-16.4137,-1130.10
 -70.5472437450,  43.3222183220,-16.4059,-1128.10
 -70.5472494550,  43.3222219010,-16.3981,-1126.10
 -70.5472551640,  43.3222254710,-16.3903,-1124.10
 -70.5472608740,  43.3222290410,-16.3824,-1122.10
 -70.5472665750,  43.3222326110,-16.3746,-1120.10
 -70.5472722850,  43.3222361810,-16.3668,-1118.10
 -70.5472779950,  43.3222397520,-16.3590,-1116.10
 -70.5472837040,  43.3222433220,-16.3512,-1114.10
 -70.5472894140,  43.3222468920,-16.3434,-1112.10
 -70.5472951150,  43.3222504620,-16.3355,-1110.10
 -70.5473008250,  43.3222540320,-16.3277,-1108.10
 -70.5473065350,  43.3222576110,-16.3199,-1106.10
 -70.5473122440,  43.3222611810,-16.3121,-1104.10
 -70.5473179540,  43.3222647510,-16.3043,-1102.10
 -70.5473236640,  43.3222683210,-16.2965,-1100.10
 -70.5473293650,  43.3222718910,-16.2887,-1098.10
 -70.5473350750,  43.3222754610,-16.2808,-1096.10
 -70.5473407850,  43.3222790320,-16.2730,-1094.10
 -70.5473464940,  43.3222826020,-16.2652,-1092.10
 -70.5473522040,  43.3222861720,-16.2574,-1090.10
 -70.5473579050,  43.3222897420,-16.2496,-1088.10
 -70.5473636150,  43.3222933120,-16.2418,-1086.10
 -70.5473693250,  43.3222968910,-16.2339,-1084.10
 -70.5473750340,  43.3223004610,-16.2261,-1082.10
 -70.5473807440,  43.3223040310,-16.2183,-1080.10
 -70.5473864450,  43.3223076010,-16.2105,-1078.10
 -70.5473921550,  43.3223111710,-16.2027,-1076.10
 -70.5473978650,  43.3223147410,-16.1949,-1074.10
 -70.5474035740,  43.3223183120,-16.1871,-1072.10
 -70.5474092840,  43.3223218820,-16.1792,-1070.10
 -70.5474149940,  43.3223254520,-16.1714,-1068.10
 -70.5474206950,  43.3223290220,-16.1636,-1066.10
 -70.5474264050,  43.3223325920,-16.1558,-1064.10
 -70.5474321150,  43.3223361710,-16.1480,-1062.10
 -70.5474378240,  43.3223397410,-16.1402,-1060.10
 -70.5474435340,  43.3223433110,-16.1323,-1058.10
 -70.5474492350,  43.3223468810,-16.1245,-1056.10
 -70.5474549450,  43.3223504510,-16.1167,-1054.10
 -70.5474606550,  43.3223540210,-16.1089,-1052.10
 -70.5474663640,  43.3223575920,-16.1011,-1050.10
 -70.5474720740,  43.3223611620,-16.0933,-1048.10
 -70.5474777750,  43.3223647320,-16.0855,-1046.10
 -70.5474834850,  43.3223683020,-16.0776,-1044.10
 -70.5474891950,  43.3223718720,-16.0698,-1042.10
 -70.5474949050,  43.3223754510,-16.0620,-1040.10
 -70.5475006140,  43.3223790210,-16.0542,-1038.10
 -70.5475063240,  43.3223825910,-16.0464,-1036.10
 -70.5475120250,  43.3223861610,-16.0386,-1034.10
 -70.5475177350,  43.3223897310,-16.0307,-1032.10
 -70.5475234450,  43.3223933020,-16.0229,-1030.10
 -70.5475291540,  43.3223968720,-16.0151,-1028.10
 -70.5475348640,  43.3224004420,-16.0073,-1026.10
 -70.5475405650,  43.3224040120,-15.9995,-1024.10
 -70.5475462750,  43.3224075820,-15.9917,-1022.10
 -70.5475519850,  43.3224111610,-15.9839,-1020.10
 -70.5475576950,  43.3224147310,-15.9760,-1018.10
 -70.5475634040,  43.3224183010,-15.9682,-1016.10
 -70.5475691140,  43.3224218710,-15.9604,-1014.10
 -70.5475748150,  43.3224254410,-15.9453,-1012.10
 -70.5475805250,  43.3224290110,-15.9078,-1010.10
 -70.5475862350,  43.3224325820,-15.8704,-1008.10
 -70.5475919440,  43.3224361520,-15.8330,-1006.10
 -70.5475976540,  43.3224397220,-15.7956,-1004.10
 -70.5476033550,  43.3224432920,-15.7581,-1002.10
 -70.5476090650,  43.3224468620,-15.7360,-1000.10
 -70.5476147750,  43.3224504410,-15.7229,-998.10
 -70.5476204840,  43.3224540110,-15.7098,-996.10
 -70.5476261940,  43.3224575810,-15.6967,-994.10
 -70.5476319040,  43.3224611510,-15.6836,-992.10
 -70.5476376050,  43.3224647210,-15.6704,-990.10
 -70.5476433150,  43.3224682910,-15.6573,-988.10
 -70.5476490250,  43.3224718620,-15.6442,-986.10
 -70.5476547340,  43.3224754320,-15.6311,-984.10
 -70.5476604440,  43.3224790020,-15.6180,-982.10
 -70.5476661450,  43.3224825720,-15.6049,-980.10
 -70.5476718550,  43.3224861420,-15.5918,-978.10
 -70.5476775650,  43.3224897210,-15.5787,-976.10
 -70.5476832740,  43.3224932910,-15.5656,-974.10
 -70.5476889840,  43.3224968610,-15.5524,-972.10
 -70.5476946940,  43.3225004310,-15.5400,-970.10
 -70.5477003950,  43.3225040010,-15.5284,-968.10
 -70.5477061050,  43.3225075710,-15.5168,-966.10
 -70.5477118150,  43.3225111420,-15.5053,-964.10
 -70.5477175240,  43.3225147120,-15.4937,-962.10
 -70.5477232340,  43.3225182820,-15.4822,-960.10
 -70.5477289350,  43.3225218520,-15.4706,-958.10
 -70.5477346450,  43.3225254220,-15.4590,-956.10
 -70.5477403550,  43.3225290010,-15.4475,-954.10
