X,Y,Z,STA,source
-70.5717356400,43.3155276033,-1.3779528000,3161.50,2011USACEMaine
-70.5717516500,43.3155315700,-0.7217848000,3166.00,2011USACEMaine
-70.5717605500,43.3155337700,-0.4265092000,3168.50,2011USACEMaine
-70.5717730100,43.3155368500,-0.1968504000,3172.00,2011USACEMaine
-70.5717836900,43.3155395000,0.2952756000,3175.00,2011USACEMaine
-70.5717943600,43.3155421400,-0.1312336000,3178.00,2011USACEMaine
-70.5718086000,43.3155456620,-0.0328084000,3182.00,2011USACEMaine
-70.5718335143,43.3155518300,-0.0656168000,3189.00,2011USACEMaine
-70.5718673260,43.3155601990,-0.7874016000,3198.50,2011USACEMaine
-70.5718993600,43.3155681300,4.5275592000,3207.50,2011USACEMaine
-70.5719189300,43.3155729700,4.8228348000,3213.00,2011USACEMaine
-70.5719438478,43.3155791400,4.7572180000,3220.00,2011USACEMaine
-70.5719812180,43.3155883900,4.8228348000,3230.50,2011USACEMaine
-70.5720043500,43.3155941200,4.6916012000,3237.00,2011USACEMaine
-70.5720150300,43.3155967600,4.5275592000,3240.00,2011USACEMaine
-70.5720328260,43.3156011620,4.6916012000,3245.00,2011USACEMaine
-70.5720612989,43.3156082100,4.6259844000,3253.00,2011USACEMaine
-70.5720915500,43.3156157000,4.6916012000,3261.50,2011USACEMaine
-70.5721146840,43.3156214260,4.5275592000,3268.00,2011USACEMaine
-70.5721307000,43.3156253900,4.3963256000,3272.50,2011USACEMaine
-70.5721502771,43.3156302343,4.5603676000,3278.00,2011USACEMaine
-70.5721680700,43.3156346400,4.3963256000,3283.00,2011USACEMaine
-70.5721823100,43.3156381629,4.4619424000,3287.00,2011USACEMaine
-70.5722090000,43.3156447700,2.0013124000,3294.50,2011USACEMaine
-70.5722374750,43.3156518187,-0.4265092000,3302.50,2011USACEMaine
-70.5722641700,43.3156584240,-0.8530184000,3310.00,2011USACEMaine
-70.5722890800,43.3156645900,-1.0170604000,3317.00,2011USACEMaine
-70.5723157767,43.3156712000,0.2296588000,3324.50,2011USACEMaine
-70.5723371300,43.3156764825,1.0498688000,3330.50,2011USACEMaine
-70.5723620438,43.3156826500,4.4619424000,3337.50,2011USACEMaine
-70.5723869600,43.3156888200,4.5275592000,3344.50,2011USACEMaine
-70.5724065320,43.3156936600,4.7572180000,3350.00,2011USACEMaine
-70.5724207700,43.3156971900,4.8556432000,3354.00,2011USACEMaine
-70.5724314500,43.3156998300,4.7572180000,3357.00,2011USACEMaine
-70.5724563600,43.3157059957,4.8228348000,3364.00,2011USACEMaine
-70.5724777200,43.3157112800,4.6916012000,3370.00,2011USACEMaine
-70.5725008500,43.3157170087,4.8556432000,3376.50,2011USACEMaine
-70.5725257625,43.3157231725,4.7572180000,3383.50,2011USACEMaine
-70.5725560173,43.3157306618,4.9212600000,3392.00,2011USACEMaine
-70.5725933887,43.3157399100,4.8228348000,3402.50,2011USACEMaine
-70.5726147400,43.3157452000,4.7572180000,3408.50,2011USACEMaine
-70.5726307600,43.3157491600,4.9212600000,3413.00,2011USACEMaine
-70.5726521120,43.3157544500,4.8556432000,3419.00,2011USACEMaine
-70.5726681300,43.3157584100,4.9212600000,3423.50,2011USACEMaine
-70.5726770300,43.3157606100,5.0524936000,3426.00,2011USACEMaine
-70.5726877060,43.3157632580,4.8556432000,3429.00,2011USACEMaine
-70.5727090600,43.3157685400,4.8228348000,3435.00,2011USACEMaine
-70.5727339729,43.3157747100,4.0354332000,3442.00,2011USACEMaine
-70.5727553300,43.3157799900,3.2808400000,3448.00,2011USACEMaine
-70.5727820220,43.3157866010,3.3464568000,3455.50,2011USACEMaine
-70.5728265115,43.3157976131,4.2322836000,3468.00,2011USACEMaine
