type,station-ft,x-ft,y-ft,lon,lat,elev-ft,SWL-ft,Hc-ft,CrestElev-ft,Tp
OF,51,425358.947778561,4849424.23323708,-69.9277829076957,43.794114389864,-42.905,8.877,6.98,13.77,10.75
OF,52,425358.812133042,4849424.50619074,-69.9277846315616,43.7941168334848,-42.760,8.877,6.99,13.77,10.75
OF,53,425358.676487524,4849424.77914441,-69.9277863554277,43.7941192771056,-42.614,8.877,6.99,13.77,10.75
OF,54,425358.540842005,4849425.05209808,-69.9277880792939,43.7941217207263,-42.469,8.877,7.00,13.77,10.75
OF,55,425358.405196487,4849425.32505175,-69.9277898031603,43.794124164347,-42.323,8.877,7.00,13.78,10.75
OF,56,425358.269550968,4849425.59800542,-69.9277915270268,43.7941266079677,-42.177,8.877,7.00,13.78,10.75
OF,57,425358.13390545,4849425.87095909,-69.9277932508934,43.7941290515883,-42.032,8.877,7.01,13.78,10.75
OF,58,425357.998259932,4849426.14391275,-69.9277949747602,43.7941314952089,-41.886,8.877,7.01,13.78,10.75
OF,59,425357.862614413,4849426.41686642,-69.9277966986271,43.7941339388295,-41.740,8.877,7.01,13.79,10.75
OF,60,425357.726968895,4849426.68982009,-69.9277984224942,43.7941363824501,-41.595,8.877,7.02,13.79,10.75
OF,61,425357.591323376,4849426.96277376,-69.9278001463614,43.7941388260706,-41.449,8.877,7.02,13.79,10.75
OF,62,425357.455677858,4849427.23572743,-69.9278018702287,43.7941412696911,-41.303,8.877,7.03,13.80,10.75
OF,63,425357.320032339,4849427.50868109,-69.9278035940962,43.7941437133116,-41.158,8.877,7.03,13.80,10.75
OF,64,425357.184386821,4849427.78163476,-69.9278053179638,43.794146156932,-41.012,8.877,7.03,13.80,10.75
OF,65,425357.048741303,4849428.05458843,-69.9278070418316,43.7941486005524,-40.866,8.877,7.04,13.80,10.75
OF,66,425356.913095784,4849428.3275421,-69.9278087656995,43.7941510441728,-40.721,8.877,7.04,13.81,10.75
OF,67,425356.777450266,4849428.60049577,-69.9278104895676,43.7941534877932,-40.575,8.877,7.05,13.81,10.75
OF,68,425356.641804747,4849428.87344944,-69.9278122134358,43.7941559314135,-40.429,8.877,7.05,13.81,10.75
OF,69,425356.506159229,4849429.1464031,-69.9278139373042,43.7941583750338,-40.284,8.877,7.05,13.81,10.75
OF,70,425356.370513711,4849429.41935677,-69.9278156611726,43.7941608186541,-40.138,8.877,7.06,13.82,10.75
OF,71,425356.234868192,4849429.69231044,-69.9278173850413,43.7941632622743,-39.993,8.877,7.06,13.82,10.75
OF,72,425356.099222674,4849429.96526411,-69.92781910891,43.7941657058946,-39.847,8.877,7.07,13.82,10.75
OF,73,425355.963577155,4849430.23821778,-69.9278208327789,43.7941681495147,-39.701,8.877,7.07,13.83,10.75
OF,74,425355.827931637,4849430.51117144,-69.927822556648,43.7941705931349,-39.556,8.877,7.07,13.83,10.75
OF,75,425355.692286118,4849430.78412511,-69.9278242805172,43.794173036755,-39.410,8.877,7.08,13.83,10.75
OF,76,425355.5566406,4849431.05707878,-69.9278260043865,43.7941754803752,-39.264,8.877,7.08,13.84,10.75
OF,77,425355.420995082,4849431.33003245,-69.927827728256,43.7941779239952,-39.119,8.877,7.09,13.84,10.75
OF,78,425355.285349563,4849431.60298612,-69.9278294521256,43.7941803676153,-38.973,8.877,7.09,13.84,10.75
OF,79,425355.149704045,4849431.87593978,-69.9278311759954,43.7941828112353,-38.827,8.877,7.10,13.84,10.75
OF,80,425355.014058526,4849432.14889345,-69.9278328998653,43.7941852548553,-38.682,8.877,7.10,13.85,10.75
OF,81,425354.878413008,4849432.42184712,-69.9278346237353,43.7941876984752,-38.536,8.877,7.11,13.85,10.75
OF,82,425354.74276749,4849432.69480079,-69.9278363476055,43.7941901420952,-38.390,8.877,7.11,13.85,10.75
OF,83,425354.607121971,4849432.96775446,-69.9278380714758,43.7941925857151,-38.245,8.877,7.11,13.86,10.75
OF,84,425354.471476453,4849433.24070813,-69.9278397953463,43.794195029335,-38.099,8.877,7.12,13.86,10.75
OF,85,425354.335830934,4849433.51366179,-69.9278415192169,43.7941974729548,-37.954,8.877,7.12,13.86,10.75
OF,86,425354.200185416,4849433.78661546,-69.9278432430876,43.7941999165746,-37.808,8.877,7.13,13.87,10.75
OF,87,425354.064539897,4849434.05956913,-69.9278449669585,43.7942023601944,-37.662,8.877,7.13,13.87,10.75
OF,88,425353.928894379,4849434.3325228,-69.9278466908296,43.7942048038142,-37.517,8.877,7.14,13.87,10.75
OF,89,425353.793248861,4849434.60547647,-69.9278484147007,43.7942072474339,-37.371,8.877,7.14,13.88,10.75
OF,90,425353.657603342,4849434.87843013,-69.9278501385721,43.7942096910537,-37.290,8.877,7.14,13.88,10.75
OF,91,425353.521957824,4849435.1513838,-69.9278518624435,43.7942121346733,-37.220,8.877,7.15,13.88,10.75
OF,92,425353.386312305,4849435.42433747,-69.9278535863151,43.794214578293,-37.150,8.877,7.15,13.88,10.75
OF,93,425353.250666787,4849435.69729114,-69.9278553101869,43.7942170219126,-37.080,8.877,7.15,13.88,10.75
