type,station-ft,x-ft,y-ft,lon,lat,elev-ft,SWL-ft,Hc-ft,CrestElev-ft,Tp
OF,101.7,422335.782383757,4845901.56378314,-69.9648453495827,43.7620900654309,-1.732,8.810,7.11,13.79,10.00
OF,105,422334.84517674,4845901.92896961,-69.9648570439919,43.7620932547782,-1.301,8.811,7.04,13.74,10.00
OF,108.3,422333.907969724,4845902.29415609,-69.9648687384022,43.7620964441242,-0.870,8.813,6.97,13.69,10.00
OF,111.5,422332.999162919,4845902.6482763,-69.9648800784377,43.7620995368223,-0.131,8.812,6.79,13.56,10.00
IF,114.8,422332.061955903,4845903.01346278,-69.9648917728504,43.762102726166,0.953,8.809,5.98,13.00,10.00
IF,118.1,422331.124748886,4845903.37864925,-69.9649034672644,43.7621059155084,2.038,8.812,5.18,12.44,10.00
IF,121.4,422330.187541869,4845903.74383572,-69.9649151616796,43.7621091048496,3.123,8.825,4.37,11.88,10.00
IF,124.7,422329.250334853,4845904.1090222,-69.9649268560961,43.7621122941897,4.207,8.845,3.57,11.34,10.00
IF,128,422328.313127836,4845904.47420867,-69.9649385505137,43.7621154835285,5.292,9.028,2.88,11.04,10.00
IF,131.2,422327.404321032,4845904.82832889,-69.9649498905563,43.7621185762196,6.377,9.303,2.26,10.89,10.00
IF,134.5,422326.467114015,4845905.19351536,-69.9649615849764,43.762121765556,7.299,9.545,1.74,10.76,10.00
IF,137.8,422325.529906998,4845905.55870183,-69.9649732793977,43.7621249548912,7.858,9.698,1.43,10.70,10.00
IF,141.1,422324.592699982,4845905.92388831,-69.9649849738202,43.7621281442253,8.417,9.848,1.11,10.63,10.00
IF,144.4,422323.655492965,4845906.28907478,-69.9649966682439,43.7621313335581,8.976,10.002,0.80,10.56,10.00
IF,147.6,422322.746686161,4845906.643195,-69.9650080082924,43.7621344262433,9.536,10.160,0.49,10.50,10.00
IF,150.9,422321.809479144,4845907.00838147,-69.9650197027185,43.7621376155737,10.095,10.324,0.18,10.45,10.00
IF,152.3,422321.411876167,4845907.16330907,-69.9650246639906,43.7621389686226,10.324,10.324,0.01,10.33,10.00
