header
IE0.0    -10.078       1       1 8.8547  1.4418  1.5429    56.14   56.14
OF103.0  -9.1886    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF104.0  -9.18      0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF105.0  -9.1713    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF106.0  -9.1627    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF107.0  -9.1541    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF108.0  -9.1454    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF109.0  -9.1368    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF110.0  -9.1281    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF111.0  -9.1195    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF112.0  -9.1108    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF113.0  -9.1022    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF114.0  -9.0935    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF115.0  -9.0849    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF116.0  -9.0762    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF117.0  -9.0676    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF118.0  -9.059     0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF119.0  -9.0503    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF120.0  -9.0417    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF121.0  -9.033     0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF122.0  -9.0244    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF123.0  -9.0157    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF124.0  -9.0071    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF125.0  -8.9984    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF126.0  -8.9898    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF127.0  -8.9812    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF128.0  -8.9725    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF129.0  -8.9639    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF130.0  -8.9552    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF131.0  -8.9466    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF132.0  -8.9379    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF133.0  -8.9293    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF134.0  -8.9206    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF135.0  -8.912     0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF136.0  -8.9034    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF137.0  -8.8947    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF138.0  -8.8861    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF139.0  -8.8774    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF140.0  -8.8688    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF141.0  -8.8601    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF142.0  -8.8515    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF143.0  -8.8428    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF144.0  -8.8342    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF145.0  -8.8255    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF146.0  -8.817     0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF147.0  -8.8083    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF148.0  -8.7997    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF149.0  -8.791     0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF150.0  -8.7824    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF151.0  -8.7737    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF152.0  -8.7651    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF153.0  -8.7564    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF154.0  -8.7478    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF155.0  -8.7392    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF156.0  -8.7305    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF157.0  -8.7219    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF158.0  -8.7132    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF159.0  -8.7046    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF160.0  -8.6959    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF161.0  -8.6873    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF162.0  -8.6786    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF163.0  -8.67      0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF164.0  -8.6613    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF165.0  -8.6527    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF166.0  -8.6441    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF167.0  -8.6354    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF168.0  -8.6268    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF169.0  -8.6181    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF170.0  -8.6095    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF171.0  -8.6008    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF172.0  -8.5922    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF173.0  -8.5835    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF174.0  -8.5749    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF175.0  -8.5663    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF176.0  -8.5576    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF177.0  -8.549     0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF178.0  -8.5422    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF179.0  -8.5359    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF180.0  -8.5295    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF181.0  -8.5232    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF182.0  -8.5169    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF183.0  -8.5105    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF184.0  -8.5042    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF185.0  -8.4972    0.00 8.8548     0.00    0.00    0.00    0.00    0.00
OF186.0  -8.4876    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF187.0  -8.478     0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF188.0  -8.4684    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF189.0  -8.4588    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF190.0  -8.4492    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF191.0  -8.4397    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF192.0  -8.4301    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF193.0  -8.4205    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF194.0  -8.4109    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF195.0  -8.4013    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF196.0  -8.3917    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF197.0  -8.3822    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF198.0  -8.3726    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF199.0  -8.363     0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF200.0  -8.3534    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF201.0  -8.3438    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF202.0  -8.3342    0.00 8.8547     0.00    0.00    0.00    0.00    0.00
OF203.0  -8.3246    0.00 8.8546     0.00    0.00    0.00    0.00    0.00
OF204.0  -8.3156    0.00 8.8546     0.00    0.00    0.00    0.00    0.00
OF205.0  -8.307     0.00 8.8546     0.00    0.00    0.00    0.00    0.00
OF206.0  -8.2983    0.00 8.8546     0.00    0.00    0.00    0.00    0.00
OF207.0  -8.2897    0.00 8.8546     0.00    0.00    0.00    0.00    0.00
OF208.0  -8.281     0.00 8.8546     0.00    0.00    0.00    0.00    0.00
OF209.0  -8.2724    0.00 8.8546     0.00    0.00    0.00    0.00    0.00
OF210.0  -8.2637    0.00 8.8546     0.00    0.00    0.00    0.00    0.00
OF211.0  -8.2551    0.00 8.8546     0.00    0.00    0.00    0.00    0.00
OF212.0  -8.2464    0.00 8.8546     0.00    0.00    0.00    0.00    0.00
OF213.0  -8.2378    0.00 8.8546     0.00    0.00    0.00    0.00    0.00
OF214.0  -8.2292    0.00 8.8546     0.00    0.00    0.00    0.00    0.00
OF215.0  -8.2205    0.00 8.8546     0.00    0.00    0.00    0.00    0.00
OF216.0  -8.2119    0.00 8.8546     0.00    0.00    0.00    0.00    0.00
OF217.0  -8.2032    0.00 8.8546     0.00    0.00    0.00    0.00    0.00
OF218.0  -8.1946    0.00 8.8546     0.00    0.00    0.00    0.00    0.00
OF219.0  -8.1859    0.00 8.8546     0.00    0.00    0.00    0.00    0.00
OF220.0  -8.1773    0.00 8.8545     0.00    0.00    0.00    0.00    0.00
OF221.0  -8.1686    0.00 8.8545     0.00    0.00    0.00    0.00    0.00
OF222.0  -8.16      0.00 8.8545     0.00    0.00    0.00    0.00    0.00
OF223.0  -8.1514    0.00 8.8545     0.00    0.00    0.00    0.00    0.00
OF224.0  -8.1427    0.00 8.8545     0.00    0.00    0.00    0.00    0.00
OF225.0  -8.1341    0.00 8.8545     0.00    0.00    0.00    0.00    0.00
OF226.0  -8.1254    0.00 8.8545     0.00    0.00    0.00    0.00    0.00
OF227.0  -8.1168    0.00 8.8545     0.00    0.00    0.00    0.00    0.00
OF228.0  -8.1081    0.00 8.8545     0.00    0.00    0.00    0.00    0.00
OF229.0  -8.0995    0.00 8.8545     0.00    0.00    0.00    0.00    0.00
OF230.0  -8.0908    0.00 8.8545     0.00    0.00    0.00    0.00    0.00
OF231.0  -8.0822    0.00 8.8545     0.00    0.00    0.00    0.00    0.00
OF232.0  -8.0735    0.00 8.8545     0.00    0.00    0.00    0.00    0.00
OF233.0  -8.0649    0.00 8.8545     0.00    0.00    0.00    0.00    0.00
OF234.0  -8.0563    0.00 8.8545     0.00    0.00    0.00    0.00    0.00
OF235.0  -8.0476    0.00 8.8545     0.00    0.00    0.00    0.00    0.00
OF236.0  -8.039     0.00 8.8544     0.00    0.00    0.00    0.00    0.00
OF237.0  -8.0304    0.00 8.8544     0.00    0.00    0.00    0.00    0.00
OF238.0  -8.0217    0.00 8.8544     0.00    0.00    0.00    0.00    0.00
OF239.0  -8.0131    0.00 8.8544     0.00    0.00    0.00    0.00    0.00
OF240.0  -8.0044    0.00 8.8544     0.00    0.00    0.00    0.00    0.00
OF241.0  -7.9958    0.00 8.8544     0.00    0.00    0.00    0.00    0.00
OF242.0  -7.9872    0.00 8.8544     0.00    0.00    0.00    0.00    0.00
OF243.0  -7.9785    0.00 8.8544     0.00    0.00    0.00    0.00    0.00
OF244.0  -7.9699    0.00 8.8544     0.00    0.00    0.00    0.00    0.00
OF245.0  -7.9612    0.00 8.8544     0.00    0.00    0.00    0.00    0.00
OF246.0  -7.9526    0.00 8.8544     0.00    0.00    0.00    0.00    0.00
OF247.0  -7.9439    0.00 8.8544     0.00    0.00    0.00    0.00    0.00
OF248.0  -7.9353    0.00 8.8544     0.00    0.00    0.00    0.00    0.00
OF249.0  -7.9266    0.00 8.8544     0.00    0.00    0.00    0.00    0.00
OF250.0  -7.918     0.00 8.8544     0.00    0.00    0.00    0.00    0.00
OF251.0  -7.9093    0.00 8.8544     0.00    0.00    0.00    0.00    0.00
OF252.0  -7.9007    0.00 8.8544     0.00    0.00    0.00    0.00    0.00
OF253.0  -7.8921    0.00 8.8543     0.00    0.00    0.00    0.00    0.00
OF254.0  -7.8834    0.00 8.8543     0.00    0.00    0.00    0.00    0.00
OF255.0  -7.8748    0.00 8.8543     0.00    0.00    0.00    0.00    0.00
OF256.0  -7.8661    0.00 8.8543     0.00    0.00    0.00    0.00    0.00
OF257.0  -7.8575    0.00 8.8543     0.00    0.00    0.00    0.00    0.00
OF258.0  -7.8488    0.00 8.8543     0.00    0.00    0.00    0.00    0.00
OF259.0  -7.8402    0.00 8.8543     0.00    0.00    0.00    0.00    0.00
OF260.0  -7.8315    0.00 8.8543     0.00    0.00    0.00    0.00    0.00
