header
IE0.0    -15.456       1       1 8.816   2.8503  2.713     56.14   56.14
OF109.0  -1.25      0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF110.0  -0.9008    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF111.0  -0.5526    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
OF112.0  -0.2034    0.00 8.8173     0.00    0.00    0.00    0.00    0.00
IF115.0  3.458      0.00 8.8173     0.00    0.00    0.00    0.00    0.00
IF122.0  1.8471     0.00 8.8173     0.00    0.00    0.00    0.00    0.00
IF131.2  8.3321     0.00 8.877      0.00    0.00    0.00    0.00    0.00
IF132.0  8.877      0.00 8.877      0.00    0.00    0.00    0.00    0.00
PS START(428217.1638,4848791.376)
PS END(428137.5438,4848785.2138)
ET
 
 
 
