X,Y,Zlidar,STA,SOURCE
-70.20731039,43.64842471,-5.53477708,202,2006FEMA
-70.20731339,43.64842304,-5.53477708,203,2006FEMA
-70.20731639,43.64842137,-5.53477708,204,2006FEMA
-70.20731939,43.64841969,-5.53477708,205,2006FEMA
-70.20732238,43.64841802,-5.53477708,206,2006FEMA
-70.20732538,43.64841635,-5.53477708,207,2006FEMA
-70.20732838,43.64841468,-5.53477708,208,2006FEMA
-70.20733138,43.64841301,-5.53477708,209,2006FEMA
-70.20733438,43.64841134,-5.53477708,210,2006FEMA
-70.20733737,43.64840967,-5.53477708,211,2006FEMA
-70.20734037,43.648408,-5.53477708,212,2006FEMA
-70.20734337,43.64840633,-5.43635188,213,2006FEMA
-70.20734637,43.64840466,-5.43635188,214,2006FEMA
-70.20734937,43.64840299,-5.43635188,215,2006FEMA
-70.20735236,43.64840132,-5.43635188,216,2006FEMA
-70.20735536,43.64839965,-5.43635188,217,2006FEMA
-70.20735836,43.64839798,-5.43635188,218,2006FEMA
-70.20736136,43.6483963,-5.43635188,219,2006FEMA
-70.20736436,43.64839463,-5.43635188,220,2006FEMA
-70.20736735,43.64839296,-5.43635188,221,2006FEMA
-70.20737035,43.64839129,-5.43635188,222,2006FEMA
-70.20737335,43.64838962,-5.60039388,223,2006FEMA
-70.20737635,43.64838795,-5.60039388,224,2006FEMA
-70.20737934,43.64838628,-5.60039388,225,2006FEMA
-70.20738234,43.64838461,-5.60039388,226,2006FEMA
-70.20738534,43.64838294,-5.60039388,227,2006FEMA
-70.20738834,43.64838127,-5.60039388,228,2006FEMA
-70.20739134,43.6483796,-5.60039388,229,2006FEMA
-70.20739433,43.64837793,-5.60039388,230,2006FEMA
-70.20739733,43.64837626,-5.60039388,231,2006FEMA
-70.20740033,43.64837458,-5.60039388,232,2006FEMA
-70.20740333,43.64837291,-5.60039388,233,2006FEMA
-70.20740633,43.64837124,-5.60039388,234,2006FEMA
-70.20740932,43.64836957,-5.60039388,235,2006FEMA
-70.20741232,43.6483679,-5.56758548,236,2006FEMA
-70.20741532,43.64836623,-5.56758548,237,2006FEMA
-70.20741832,43.64836456,-5.56758548,238,2006FEMA
-70.20742132,43.64836289,-5.56758548,239,2006FEMA
-70.20742431,43.64836122,-5.56758548,240,2006FEMA
-70.20742731,43.64835955,-5.56758548,241,2006FEMA
-70.20743031,43.64835788,-5.56758548,242,2006FEMA
-70.20743331,43.64835621,-5.56758548,243,2006FEMA
-70.2074363,43.64835454,-5.56758548,244,2006FEMA
-70.2074393,43.64835287,-5.56758548,245,2006FEMA
-70.2074423,43.64835119,-5.56758548,246,2006FEMA
