X,Y,Z,STA,source
-70.3631320000,43.4334804900,-36.0839445854,-1545.00,Maine ADCIRC model
-70.3631351300,43.4334820200,-36.0703412074,-1544.00,Maine ADCIRC model
-70.3631382500,43.4334835500,-36.0567598539,-1543.00,Maine ADCIRC model
-70.3631413800,43.4334850800,-36.0431564760,-1542.00,Maine ADCIRC model
-70.3631445000,43.4334866100,-36.0295751225,-1541.00,Maine ADCIRC model
-70.3631476300,43.4334881400,-36.0159717446,-1540.00,Maine ADCIRC model
-70.3631507600,43.4334896700,-36.0023683666,-1539.00,Maine ADCIRC model
-70.3631538800,43.4334912000,-35.9887870132,-1538.00,Maine ADCIRC model
-70.3631570100,43.4334927300,-35.9751836352,-1537.00,Maine ADCIRC model
-70.3631601300,43.4334942500,-35.9616461360,-1536.00,Maine ADCIRC model
-70.3631632600,43.4334957800,-35.9480427580,-1535.00,Maine ADCIRC model
-70.3631663900,43.4334973100,-35.9344393800,-1534.00,Maine ADCIRC model
-70.3631695100,43.4334988400,-35.9208580266,-1533.00,Maine ADCIRC model
-70.3631726400,43.4335003700,-35.9072546486,-1532.00,Maine ADCIRC model
-70.3631757700,43.4335019000,-35.8936512707,-1531.00,Maine ADCIRC model
-70.3631788900,43.4335034300,-35.8800699172,-1530.00,Maine ADCIRC model
-70.3631820200,43.4335049600,-35.8664665393,-1529.00,Maine ADCIRC model
-70.3631851400,43.4335064800,-35.8529290401,-1528.00,Maine ADCIRC model
-70.3631882700,43.4335080100,-35.8393256621,-1527.00,Maine ADCIRC model
-70.3631914000,43.4335095400,-35.8257222841,-1526.00,Maine ADCIRC model
-70.3631945200,43.4335110700,-35.8121409307,-1525.00,Maine ADCIRC model
-70.3631976500,43.4335126000,-35.7985375527,-1524.00,Maine ADCIRC model
-70.3632007700,43.4335141300,-35.7849561993,-1523.00,Maine ADCIRC model
-70.3632039000,43.4335156600,-35.7713528213,-1522.00,Maine ADCIRC model
-70.3632070300,43.4335171900,-35.7577494433,-1521.00,Maine ADCIRC model
