X,Y,Z,STA
-70.3518122300,43.4343706500,-32.0914477272,-2311.00
-70.3518134700,43.4343732400,-32.0165501986,-2310.00
-70.3518147000,43.4343758300,-31.9419479977,-2309.00
-70.3518159300,43.4343784200,-31.8673457973,-2308.00
-70.3518171700,43.4343810200,-31.7923004815,-2307.00
-70.3518184000,43.4343836100,-31.7176982812,-2306.00
-70.3518196300,43.4343862000,-31.6430960808,-2305.00
-70.3518208700,43.4343887900,-31.5681985521,-2304.00
-70.3518221000,43.4343913800,-31.4935963513,-2303.00
-70.3518233300,43.4343939700,-31.4189941508,-2302.00
-70.3518245700,43.4343965700,-31.3439488352,-2301.00
-70.3518258000,43.4343991600,-31.2693466348,-2300.00
-70.3518270300,43.4344017500,-31.1947444343,-2299.00
-70.3518282700,43.4344043400,-31.1198469057,-2298.00
-70.3518295000,43.4344069300,-31.0452447052,-2297.00
-70.3518307300,43.4344095300,-30.9704947173,-2296.00
-70.3518319700,43.4344121200,-30.8955971887,-2295.00
-70.3518332000,43.4344147100,-30.8209949883,-2294.00
-70.3518344300,43.4344173000,-30.7463927879,-2293.00
-70.3518356700,43.4344198900,-30.6714952592,-2292.00
-70.3518369000,43.4344224800,-30.5968930588,-2291.00
-70.3518381300,43.4344250800,-30.5221430710,-2290.00
-70.3518393700,43.4344276700,-30.4472455427,-2289.00
-70.3518406000,43.4344302600,-30.3726433419,-2288.00
-70.3518418300,43.4344328500,-30.2980411414,-2287.00
-70.3518430700,43.4344354400,-30.2231436128,-2286.00
-70.3518443000,43.4344380400,-30.1483936253,-2285.00
-70.3518455300,43.4344406300,-30.0737914245,-2284.00
-70.3518467700,43.4344432200,-29.9988938963,-2283.00
-70.3518480000,43.4344458100,-29.9242916954,-2282.00
-70.3518492300,43.4344484000,-29.8496894950,-2281.00
-70.3518504700,43.4344509900,-29.7747919663,-2280.00
-70.3518517000,43.4344535900,-29.7000419789,-2279.00
-70.3518529300,43.4344561800,-29.6254397781,-2278.00
-70.3518541700,43.4344587700,-29.5505422498,-2277.00
-70.3518554000,43.4344613600,-29.4759400490,-2276.00
-70.3518566300,43.4344639500,-29.4013378485,-2275.00
-70.3518578700,43.4344665500,-29.3262925328,-2274.00
-70.3518591000,43.4344691400,-29.2516903325,-2273.00
-70.3518603300,43.4344717300,-29.1770881320,-2272.00
-70.3518615700,43.4344743200,-29.1021906034,-2271.00
-70.3518628000,43.4344769100,-29.0275884025,-2270.00
-70.3518640300,43.4344795100,-28.9528384150,-2269.00
-70.3518652700,43.4344821000,-28.8779408864,-2268.00
-70.3518665000,43.4344846900,-28.8033386860,-2267.00
-70.3518677300,43.4344872800,-28.7287364856,-2266.00
-70.3518689700,43.4344898700,-28.6538389569,-2265.00
-70.3518702000,43.4344924600,-28.5792367565,-2264.00
-70.3518714300,43.4344950600,-28.5044867686,-2263.00
