header
IE0.0    -16.356       1       1 9.0273  4.6994  6.937     56.14   56.14
OF421.0  -16.705    0.00 9.0277     0.00    0.00    0.00    0.00    0.00
OF422.0  -16.705    0.00 9.0277     0.00    0.00    0.00    0.00    0.00
OF423.0  -16.705    0.00 9.0277     0.00    0.00    0.00    0.00    0.00
OF424.0  -16.705    0.00 9.0277     0.00    0.00    0.00    0.00    0.00
OF425.0  -16.705    0.00 9.0278     0.00    0.00    0.00    0.00    0.00
OF426.0  -16.705    0.00 9.0278     0.00    0.00    0.00    0.00    0.00
OF427.0  -16.705    0.00 9.0278     0.00    0.00    0.00    0.00    0.00
OF428.0  -16.705    0.00 9.0278     0.00    0.00    0.00    0.00    0.00
OF429.0  -16.705    0.00 9.0278     0.00    0.00    0.00    0.00    0.00
OF430.0  -16.705    0.00 9.0278     0.00    0.00    0.00    0.00    0.00
OF431.0  -16.705    0.00 9.0278     0.00    0.00    0.00    0.00    0.00
OF432.0  -16.705    0.00 9.0278     0.00    0.00    0.00    0.00    0.00
OF433.0  -16.705    0.00 9.0278     0.00    0.00    0.00    0.00    0.00
OF434.0  -16.705    0.00 9.0278     0.00    0.00    0.00    0.00    0.00
OF435.0  -16.705    0.00 9.0279     0.00    0.00    0.00    0.00    0.00
OF436.0  -16.705    0.00 9.0279     0.00    0.00    0.00    0.00    0.00
OF437.0  -16.705    0.00 9.0279     0.00    0.00    0.00    0.00    0.00
OF438.0  -16.706    0.00 9.0279     0.00    0.00    0.00    0.00    0.00
OF439.0  -16.706    0.00 9.0279     0.00    0.00    0.00    0.00    0.00
OF440.0  -16.706    0.00 9.0279     0.00    0.00    0.00    0.00    0.00
OF441.0  -16.706    0.00 9.0279     0.00    0.00    0.00    0.00    0.00
OF442.0  -16.706    0.00 9.0279     0.00    0.00    0.00    0.00    0.00
OF443.0  -16.706    0.00 9.0279     0.00    0.00    0.00    0.00    0.00
OF444.0  -16.706    0.00 9.0279     0.00    0.00    0.00    0.00    0.00
OF445.0  -16.706    0.00 9.028      0.00    0.00    0.00    0.00    0.00
OF446.0  -16.706    0.00 9.028      0.00    0.00    0.00    0.00    0.00
OF447.0  -16.706    0.00 9.028      0.00    0.00    0.00    0.00    0.00
OF448.0  -16.706    0.00 9.028      0.00    0.00    0.00    0.00    0.00
OF449.0  -16.706    0.00 9.028      0.00    0.00    0.00    0.00    0.00
OF450.0  -16.706    0.00 9.028      0.00    0.00    0.00    0.00    0.00
OF451.0  -16.706    0.00 9.028      0.00    0.00    0.00    0.00    0.00
OF452.0  -16.706    0.00 9.028      0.00    0.00    0.00    0.00    0.00
OF453.0  -16.706    0.00 9.028      0.00    0.00    0.00    0.00    0.00
OF454.0  -16.706    0.00 9.028      0.00    0.00    0.00    0.00    0.00
OF455.0  -16.706    0.00 9.0281     0.00    0.00    0.00    0.00    0.00
OF456.0  -16.706    0.00 9.0281     0.00    0.00    0.00    0.00    0.00
OF457.0  -16.706    0.00 9.0281     0.00    0.00    0.00    0.00    0.00
OF458.0  -16.706    0.00 9.0281     0.00    0.00    0.00    0.00    0.00
OF459.0  -16.706    0.00 9.0281     0.00    0.00    0.00    0.00    0.00
OF460.0  -16.706    0.00 9.0281     0.00    0.00    0.00    0.00    0.00
OF461.0  -16.706    0.00 9.0281     0.00    0.00    0.00    0.00    0.00
OF462.0  -16.706    0.00 9.0281     0.00    0.00    0.00    0.00    0.00
OF463.0  -16.706    0.00 9.0281     0.00    0.00    0.00    0.00    0.00
OF464.0  -16.706    0.00 9.0282     0.00    0.00    0.00    0.00    0.00
OF465.0  -16.706    0.00 9.0282     0.00    0.00    0.00    0.00    0.00
OF466.0  -16.706    0.00 9.0282     0.00    0.00    0.00    0.00    0.00
OF467.0  -16.706    0.00 9.0282     0.00    0.00    0.00    0.00    0.00
OF468.0  -16.706    0.00 9.0282     0.00    0.00    0.00    0.00    0.00
OF469.0  -16.706    0.00 9.0282     0.00    0.00    0.00    0.00    0.00
OF470.0  -16.706    0.00 9.0282     0.00    0.00    0.00    0.00    0.00
OF471.0  -16.706    0.00 9.0282     0.00    0.00    0.00    0.00    0.00
OF472.0  -16.706    0.00 9.0283     0.00    0.00    0.00    0.00    0.00
OF473.0  -16.706    0.00 9.0283     0.00    0.00    0.00    0.00    0.00
OF474.0  -16.706    0.00 9.0283     0.00    0.00    0.00    0.00    0.00
