X,Y,Zadcirc,STA,source
-69.96459836,43.7620227,-10.5087915318977,139,interpolated ADCIRC
-69.96460191,43.76202367,-10.3056126722973,140,interpolated ADCIRC
-69.96460545,43.76202463,-10.1030306158695,141,interpolated ADCIRC
-69.964609,43.7620256,-9.89985175624527,142,interpolated ADCIRC
-69.96461254,43.76202657,-9.69723603189935,143,interpolated ADCIRC
-69.96461608,43.76202753,-9.49465397549547,144,interpolated ADCIRC
-69.96461963,43.7620285,-9.2914751158712,145,interpolated ADCIRC
-69.96462317,43.76202946,-9.08889305944339,146,interpolated ADCIRC
-69.96462671,43.76203043,-8.88627733509747,147,interpolated ADCIRC
-69.96463026,43.7620314,-8.68309847549713,148,interpolated ADCIRC
-69.9646338,43.76203236,-8.48051641906932,149,interpolated ADCIRC
-69.96463735,43.76203333,-8.27733755944505,150,interpolated ADCIRC
-69.96464089,43.7620343,-8.07472183589939,151,interpolated ADCIRC
-69.96464443,43.76203526,-7.87213977869524,152,interpolated ADCIRC
-69.96464798,43.76203623,-7.66896091987124,153,interpolated ADCIRC
-69.96465152,43.7620372,-7.46634519552532,154,interpolated ADCIRC
-69.96465506,43.76203816,-7.26376313909751,155,interpolated ADCIRC
-69.96465861,43.76203913,-7.06058427949717,156,interpolated ADCIRC
-69.96466215,43.7620401,-6.85796855595151,157,interpolated ADCIRC
-69.9646657,43.76204106,-6.65482336344509,158,interpolated ADCIRC
-69.96466924,43.76204203,-6.45220763909917,159,interpolated ADCIRC
-69.96467278,43.762043,-6.24959191557744,160,interpolated ADCIRC
-69.96467633,43.76204396,-6.04644672307102,161,interpolated ADCIRC
-69.96467987,43.76204493,-5.84383099952536,162,interpolated ADCIRC
-69.96468341,43.76204589,-5.64124894229729,163,interpolated ADCIRC
-69.96468696,43.76204686,-5.43807008349721,164,interpolated ADCIRC
-69.9646905,43.76204783,-5.23545435915129,165,interpolated ADCIRC
-69.96469405,43.76204879,-5.03230916664487,166,interpolated ADCIRC
-69.96469759,43.76204976,-4.82969344312314,167,interpolated ADCIRC
-69.96470113,43.76205073,-4.62707771957748,168,interpolated ADCIRC
-69.96470468,43.76205169,-4.42393252707106,169,interpolated ADCIRC
-69.96470822,43.76205266,-4.22131680272514,170,interpolated ADCIRC
-69.96471176,43.76205363,-4.01870107920341,171,interpolated ADCIRC
-69.96471531,43.76205459,-3.81555588669699,172,interpolated ADCIRC
-69.96471885,43.76205556,-3.61294016315133,173,interpolated ADCIRC
-69.9647224,43.76205653,-3.40976130352706,174,interpolated ADCIRC
-69.96472594,43.76205749,-3.20717924712318,175,interpolated ADCIRC
-69.96472948,43.76205846,-3.00456352277726,176,interpolated ADCIRC
-69.96473303,43.76205943,-2.80138466315299,177,interpolated ADCIRC
-69.96473657,43.76206039,-2.59880260672519,178,interpolated ADCIRC
-69.96474012,43.76206136,-2.39562374712484,179,interpolated ADCIRC
-69.96474366,43.76206232,-2.19304169069703,180,interpolated ADCIRC
-69.9647472,43.76206329,-1.99042596635111,181,interpolated ADCIRC
-69.96475075,43.76206426,-1.78181468332528,182,interpolated ADCIRC
-69.96475429,43.76206522,-1.57369476586234,183,interpolated ADCIRC
-69.96475783,43.76206619,-1.36551447566592,184,interpolated ADCIRC
-69.96476138,43.76206716,-1.15676264812003,185,interpolated ADCIRC
-69.96476492,43.76206812,-0.948642731426393,186,interpolated ADCIRC
-69.96476847,43.76206909,-0.739890903923394,187,interpolated ADCIRC
-69.96477201,43.76207006,-0.53171061291477,188,interpolated ADCIRC
-69.96477555,43.76207102,-0.323590696221136,189,interpolated ADCIRC
-69.9647791,43.76207199,-0.114838868675241,190,interpolated ADCIRC
-69.96478264,43.76207296,0.0933414214782819,191,interpolated ADCIRC
-69.96478618,43.76207392,0.30146133898412,192,interpolated ADCIRC
-69.96478973,43.76207489,0.510213166530015,193,interpolated ADCIRC
-69.96479327,43.76207586,0.718393456726437,194,interpolated ADCIRC
-69.96479682,43.76207682,0.927084910726648,195,interpolated ADCIRC
-69.96480036,43.76207779,1.13526520092307,196,interpolated ADCIRC
-69.9648039,43.76207875,1.3433851184289,197,interpolated ADCIRC
-69.96480745,43.76207972,1.55029325462972,198,interpolated ADCIRC
-69.96481099,43.76208069,1.7331710555844,199,interpolated ADCIRC
-69.96481453,43.76208165,1.91597932797988,200,interpolated ADCIRC
-69.96481808,43.76208262,2.09935468119889,201,interpolated ADCIRC
-69.96482162,43.76208359,2.28223248149591,202,interpolated ADCIRC
-69.96482517,43.76208455,2.46553830676399,203,interpolated ADCIRC
-69.96482871,43.76208552,2.64841610776807,204,interpolated ADCIRC
-69.96483225,43.76208649,2.83129390806509,205,interpolated ADCIRC
-69.9648358,43.76208745,3.01459973338256,206,interpolated ADCIRC
-69.96483934,43.76208842,3.19747753363018,207,interpolated ADCIRC
-69.96484288,43.76208939,3.38035533463426,208,interpolated ADCIRC
-69.96484643,43.76209035,3.56366115924468,209,interpolated ADCIRC
-69.96484997,43.76209132,3.74653896024876,210,interpolated ADCIRC
-69.96485352,43.76209228,3.92984478551683,211,interpolated ADCIRC
-69.96485706,43.76209325,4.11272258581385,212,interpolated ADCIRC
-69.9648606,43.76209422,4.29560038611087,213,interpolated ADCIRC
-69.96486415,43.76209518,4.47890621142834,214,interpolated ADCIRC
-69.96486769,43.76209615,4.66178401238303,215,interpolated ADCIRC
-69.96487123,43.76209712,4.84466181268004,216,interpolated ADCIRC
-69.96487478,43.76209808,5.02796763799752,217,interpolated ADCIRC
-69.96487832,43.76209905,5.21084543829454,218,interpolated ADCIRC
-69.96488187,43.76210002,5.39422079146416,219,interpolated ADCIRC
-69.96488541,43.76210098,5.57702906385963,220,interpolated ADCIRC
-69.96488895,43.76210195,5.75990686486371,221,interpolated ADCIRC
-69.9648925,43.76210292,5.94328221803333,222,interpolated ADCIRC
-69.96489604,43.76210388,6.1260904904288,223,interpolated ADCIRC
-69.96489958,43.76210485,6.30896829072582,224,interpolated ADCIRC
-69.96490313,43.76210582,6.49234364394484,225,interpolated ADCIRC
-69.96490667,43.76210678,6.67515191704738,226,interpolated ADCIRC
-69.96491022,43.76210775,6.85852726950993,227,interpolated ADCIRC
-69.96491376,43.76210871,7.04133554261247,228,interpolated ADCIRC
-69.9649173,43.76210968,7.22421334290949,229,interpolated ADCIRC
-69.96492085,43.76211065,7.40758869607911,230,interpolated ADCIRC
-69.96492439,43.76211161,7.59039696847458,231,interpolated ADCIRC
-69.96492793,43.76211258,7.77327476947867,232,interpolated ADCIRC
-69.96493148,43.76211355,7.95665012269769,233,interpolated ADCIRC
-69.96493502,43.76211451,8.13945839509316,234,interpolated ADCIRC
-69.96493857,43.76211548,8.32283374826278,235,interpolated ADCIRC
-69.96494211,43.76211645,8.5057115485598,236,interpolated ADCIRC
-69.96494565,43.76211741,8.68851982166234,237,interpolated ADCIRC
-69.9649492,43.76211838,8.87189517483196,238,interpolated ADCIRC
-69.96495274,43.76211935,9.05477297512898,239,interpolated ADCIRC
-69.96495629,43.76212031,9.23807880044645,240,interpolated ADCIRC
-69.96495983,43.76212128,9.42095660074347,241,interpolated ADCIRC
