X,Y,Zlidar,STA,SOURCE
-69.90049059,43.7889082,-999,272,-999
-69.900487,43.78890731,-999,273,-999
-69.90048342,43.78890642,-999,274,-999
-69.90047984,43.78890553,-999,275,-999
-69.90047625,43.78890464,-999,276,-999
-69.90047267,43.78890375,-999,277,-999
-69.90046909,43.78890286,-999,278,-999
-69.9004655,43.78890197,-999,279,-999
-69.90046192,43.78890108,-999,280,-999
-69.90045834,43.78890019,-999,281,-999
-69.90045475,43.7888993,-999,282,-999
-69.90045117,43.78889841,-999,283,-999
-69.90044758,43.78889752,-999,284,-999
-69.900444,43.78889663,-999,285,-999
-69.90044042,43.78889574,-999,286,-999
-69.90043683,43.78889485,-999,287,-999
-69.90043325,43.78889396,-999,288,-999
-69.90042967,43.78889307,-999,289,-999
-69.90042608,43.78889218,-999,290,-999
-69.9004225,43.78889129,-999,291,-999
-69.90041892,43.7888904,-999,292,-999
-69.90041533,43.78888952,-999,293,-999
-69.90041175,43.78888863,-999,294,-999
-69.90040817,43.78888774,-999,295,-999
-69.90040458,43.78888685,-999,296,-999
-69.900401,43.78888596,-999,297,-999
-69.90039742,43.78888507,-999,298,-999
-69.90039383,43.78888418,-999,299,-999
-69.90039025,43.78888329,-999,300,-999
-69.90038667,43.7888824,-999,301,-999
-69.90038308,43.78888151,-999,302,-999
-69.9003795,43.78888062,-999,303,-999
-69.90037591,43.78887973,-999,304,-999
-69.90037233,43.78887884,-999,305,-999
-69.90036875,43.78887795,-999,306,-999
-69.90036516,43.78887706,-999,307,-999
-69.90036158,43.78887617,-999,308,-999
-69.900358,43.78887528,-999,309,-999
-69.90035441,43.78887439,-999,310,-999
-69.90035083,43.7888735,-999,311,-999
-69.90034725,43.78887261,-999,312,-999
-69.90034366,43.78887172,-999,313,-999
-69.90034008,43.78887083,-999,314,-999
-69.9003365,43.78886994,-999,315,-999
-69.90033291,43.78886905,-999,316,-999
-69.90032933,43.78886816,-999,317,-999
-69.90032575,43.78886727,-999,318,-999
-69.90032216,43.78886639,-999,319,-999
-69.90031858,43.7888655,-999,320,-999
-69.90031499,43.78886461,-999,321,-999
-69.90031141,43.78886372,-999,322,-999
-69.90030783,43.78886283,-999,323,-999
-69.90030424,43.78886194,-999,324,-999
-69.90030066,43.78886105,-999,325,-999
-69.90029708,43.78886016,-999,326,-999
-69.90029349,43.78885927,-999,327,-999
-69.90028991,43.78885838,-999,328,-999
-69.90028633,43.78885749,-999,329,-999
-69.90028274,43.7888566,-999,330,-999
-69.90027916,43.78885571,-999,331,-999
-69.90027558,43.78885482,-999,332,-999
-69.90027199,43.78885393,-999,333,-999
-69.90026841,43.78885304,-999,334,-999
-69.90026483,43.78885215,-999,335,-999
-69.90026124,43.78885126,-999,336,-999
-69.90025766,43.78885037,-999,337,-999
-69.90025408,43.78884948,-999,338,-999
