header
IE0.0    -15.556       1       1 8.9963  6.9956  6.9601    56.14   56.14
OF145.0  -12.335    0.00 8.9985     0.00    0.00    0.00    0.00    0.00
OF146.0  -12.251    0.00 8.9985     0.00    0.00    0.00    0.00    0.00
OF147.0  -12.168    0.00 8.9985     0.00    0.00    0.00    0.00    0.00
OF148.0  -12.085    0.00 8.9985     0.00    0.00    0.00    0.00    0.00
OF149.0  -12.002    0.00 8.9985     0.00    0.00    0.00    0.00    0.00
OF150.0  -11.918    0.00 8.9986     0.00    0.00    0.00    0.00    0.00
OF151.0  -11.835    0.00 8.9986     0.00    0.00    0.00    0.00    0.00
OF152.0  -11.752    0.00 8.9986     0.00    0.00    0.00    0.00    0.00
OF153.0  -11.669    0.00 8.9986     0.00    0.00    0.00    0.00    0.00
OF154.0  -11.585    0.00 8.9986     0.00    0.00    0.00    0.00    0.00
OF155.0  -11.502    0.00 8.9986     0.00    0.00    0.00    0.00    0.00
OF156.0  -11.399    0.00 8.9986     0.00    0.00    0.00    0.00    0.00
OF157.0  -11.288    0.00 8.9985     0.00    0.00    0.00    0.00    0.00
OF158.0  -11.178    0.00 8.9985     0.00    0.00    0.00    0.00    0.00
OF159.0  -11.068    0.00 8.9985     0.00    0.00    0.00    0.00    0.00
OF160.0  -10.958    0.00 8.9984     0.00    0.00    0.00    0.00    0.00
OF161.0  -10.847    0.00 8.9984     0.00    0.00    0.00    0.00    0.00
OF162.0  -10.737    0.00 8.9983     0.00    0.00    0.00    0.00    0.00
OF163.0  -10.627    0.00 8.9983     0.00    0.00    0.00    0.00    0.00
OF164.0  -10.517    0.00 8.9983     0.00    0.00    0.00    0.00    0.00
OF165.0  -10.407    0.00 8.9982     0.00    0.00    0.00    0.00    0.00
OF166.0  -10.297    0.00 8.9982     0.00    0.00    0.00    0.00    0.00
OF167.0  -10.186    0.00 8.9981     0.00    0.00    0.00    0.00    0.00
OF168.0  -10.076    0.00 8.9981     0.00    0.00    0.00    0.00    0.00
OF169.0  -9.9663    0.00 8.9981     0.00    0.00    0.00    0.00    0.00
OF170.0  -9.8561    0.00 8.998      0.00    0.00    0.00    0.00    0.00
OF171.0  -9.7459    0.00 8.998      0.00    0.00    0.00    0.00    0.00
OF172.0  -9.6356    0.00 8.9979     0.00    0.00    0.00    0.00    0.00
OF173.0  -9.5254    0.00 8.9979     0.00    0.00    0.00    0.00    0.00
OF174.0  -9.4152    0.00 8.9979     0.00    0.00    0.00    0.00    0.00
OF175.0  -9.3049    0.00 8.9978     0.00    0.00    0.00    0.00    0.00
OF176.0  -9.1952    0.00 8.9978     0.00    0.00    0.00    0.00    0.00
OF177.0  -9.085     0.00 8.9977     0.00    0.00    0.00    0.00    0.00
OF178.0  -8.9747    0.00 8.9977     0.00    0.00    0.00    0.00    0.00
OF179.0  -8.8645    0.00 8.9977     0.00    0.00    0.00    0.00    0.00
OF180.0  -8.7543    0.00 8.9976     0.00    0.00    0.00    0.00    0.00
OF181.0  -8.644     0.00 8.9976     0.00    0.00    0.00    0.00    0.00
OF182.0  -8.5338    0.00 8.9976     0.00    0.00    0.00    0.00    0.00
OF183.0  -8.4236    0.00 8.9975     0.00    0.00    0.00    0.00    0.00
OF184.0  -8.3133    0.00 8.9975     0.00    0.00    0.00    0.00    0.00
OF185.0  -8.2031    0.00 8.9974     0.00    0.00    0.00    0.00    0.00
OF186.0  -8.0932    0.00 8.9974     0.00    0.00    0.00    0.00    0.00
OF187.0  -7.983     0.00 8.9974     0.00    0.00    0.00    0.00    0.00
OF188.0  -7.8727    0.00 8.9973     0.00    0.00    0.00    0.00    0.00
OF189.0  -7.7625    0.00 8.9973     0.00    0.00    0.00    0.00    0.00
OF190.0  -7.6522    0.00 8.9972     0.00    0.00    0.00    0.00    0.00
OF191.0  -7.542     0.00 8.9972     0.00    0.00    0.00    0.00    0.00
OF192.0  -7.4318    0.00 8.9972     0.00    0.00    0.00    0.00    0.00
OF193.0  -7.3215    0.00 8.9971     0.00    0.00    0.00    0.00    0.00
OF194.0  -7.2113    0.00 8.9971     0.00    0.00    0.00    0.00    0.00
OF195.0  -7.1011    0.00 8.997      0.00    0.00    0.00    0.00    0.00
OF196.0  -6.9908    0.00 8.997      0.00    0.00    0.00    0.00    0.00
OF197.0  -6.8809    0.00 8.997      0.00    0.00    0.00    0.00    0.00
OF198.0  -6.7707    0.00 8.9969     0.00    0.00    0.00    0.00    0.00
OF199.0  -6.6605    0.00 8.9969     0.00    0.00    0.00    0.00    0.00
OF200.0  -6.5502    0.00 8.9968     0.00    0.00    0.00    0.00    0.00
OF201.0  -6.44      0.00 8.9968     0.00    0.00    0.00    0.00    0.00
OF202.0  -6.3298    0.00 8.9968     0.00    0.00    0.00    0.00    0.00
OF203.0  -6.2195    0.00 8.9967     0.00    0.00    0.00    0.00    0.00
OF204.0  -6.1093    0.00 8.9967     0.00    0.00    0.00    0.00    0.00
OF205.0  -5.9991    0.00 8.9966     0.00    0.00    0.00    0.00    0.00
OF206.0  -5.8888    0.00 8.9966     0.00    0.00    0.00    0.00    0.00
OF207.0  -5.7789    0.00 8.9966     0.00    0.00    0.00    0.00    0.00
OF208.0  -5.6687    0.00 8.9965     0.00    0.00    0.00    0.00    0.00
OF209.0  -5.5585    0.00 8.9965     0.00    0.00    0.00    0.00    0.00
OF210.0  -5.4482    0.00 8.9965     0.00    0.00    0.00    0.00    0.00
OF211.0  -5.338     0.00 8.9964     0.00    0.00    0.00    0.00    0.00
OF212.0  -5.2278    0.00 8.9964     0.00    0.00    0.00    0.00    0.00
OF213.0  -5.1175    0.00 8.9963     0.00    0.00    0.00    0.00    0.00
OF214.0  -5.0073    0.00 8.9963     0.00    0.00    0.00    0.00    0.00
OF215.0  -4.897     0.00 8.9963     0.00    0.00    0.00    0.00    0.00
OF216.0  -4.7868    0.00 8.9962     0.00    0.00    0.00    0.00    0.00
OF217.0  -4.6769    0.00 8.9962     0.00    0.00    0.00    0.00    0.00
OF218.0  -4.5667    0.00 8.9961     0.00    0.00    0.00    0.00    0.00
OF219.0  -4.4564    0.00 8.9961     0.00    0.00    0.00    0.00    0.00
OF220.0  -4.3462    0.00 8.9961     0.00    0.00    0.00    0.00    0.00
OF221.0  -4.2643    0.00 8.996      0.00    0.00    0.00    0.00    0.00
OF222.0  -4.2599    0.00 8.996      0.00    0.00    0.00    0.00    0.00
OF223.0  -4.2555    0.00 8.996      0.00    0.00    0.00    0.00    0.00
OF224.0  -4.2511    0.00 8.996      0.00    0.00    0.00    0.00    0.00
OF225.0  -4.2467    0.00 8.996      0.00    0.00    0.00    0.00    0.00
OF226.0  -4.2423    0.00 8.9959     0.00    0.00    0.00    0.00    0.00
OF227.0  -4.2379    0.00 8.9959     0.00    0.00    0.00    0.00    0.00
OF228.0  -4.2336    0.00 8.9959     0.00    0.00    0.00    0.00    0.00
OF229.0  -4.2292    0.00 8.9959     0.00    0.00    0.00    0.00    0.00
OF230.0  -4.2248    0.00 8.9959     0.00    0.00    0.00    0.00    0.00
OF231.0  -4.2204    0.00 8.9959     0.00    0.00    0.00    0.00    0.00
OF232.0  -4.216     0.00 8.9958     0.00    0.00    0.00    0.00    0.00
OF233.0  -4.2116    0.00 8.9958     0.00    0.00    0.00    0.00    0.00
OF234.0  -4.2072    0.00 8.9958     0.00    0.00    0.00    0.00    0.00
OF235.0  -4.2029    0.00 8.9958     0.00    0.00    0.00    0.00    0.00
OF236.0  -4.1985    0.00 8.9958     0.00    0.00    0.00    0.00    0.00
OF237.0  -4.1941    0.00 8.9958     0.00    0.00    0.00    0.00    0.00
OF238.0  -4.1897    0.00 8.9957     0.00    0.00    0.00    0.00    0.00
OF239.0  -4.1853    0.00 8.9957     0.00    0.00    0.00    0.00    0.00
OF240.0  -4.1809    0.00 8.9957     0.00    0.00    0.00    0.00    0.00
OF241.0  -4.1765    0.00 8.9957     0.00    0.00    0.00    0.00    0.00
OF242.0  -4.1722    0.00 8.9957     0.00    0.00    0.00    0.00    0.00
OF243.0  -4.1678    0.00 8.9956     0.00    0.00    0.00    0.00    0.00
OF244.0  -4.1634    0.00 8.9956     0.00    0.00    0.00    0.00    0.00
OF245.0  -4.159     0.00 8.9956     0.00    0.00    0.00    0.00    0.00
OF246.0  -4.1546    0.00 8.9956     0.00    0.00    0.00    0.00    0.00
OF247.0  -4.1502    0.00 8.9956     0.00    0.00    0.00    0.00    0.00
OF248.0  -4.1458    0.00 8.9956     0.00    0.00    0.00    0.00    0.00
OF249.0  -4.1415    0.00 8.9955     0.00    0.00    0.00    0.00    0.00
OF250.0  -4.1371    0.00 8.9955     0.00    0.00    0.00    0.00    0.00
